,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA,salary
0,1.0,알칸타라,1992-12-04,Doosan Bears,2020,31.0,1.0,0.0,31.0,20.0,2.0,0.0,0.0,198.2,58.0,56.0,795.0,174.0,38.0,3.0,12.0,30.0,0.0,9.0,182.0,1.0,3.0,2.54,3.1,1.03,182.6,149.7,8.31,4.35,45000
1,2.0,양현종,1988-03-01,Kia Tigers,2015,32.0,1.0,1.0,31.0,15.0,6.0,0.0,1.0,184.1,52.0,50.0,756.0,150.0,27.0,2.0,18.0,78.0,0.0,7.0,157.0,0.0,6.0,2.44,4.57,1.24,202.1,108.5,8.14,3.94,75000
1,2.0,양현종,1988-03-01,Kia Tigers,2015,32.0,1.0,1.0,31.0,15.0,6.0,0.0,1.0,184.1,52.0,50.0,756.0,150.0,27.0,2.0,18.0,78.0,0.0,7.0,157.0,0.0,6.0,2.44,4.57,1.24,202.1,108.5,8.14,3.94,45000
1,2.0,양현종,1988-03-01,Kia Tigers,2015,32.0,1.0,1.0,31.0,15.0,6.0,0.0,1.0,184.1,52.0,50.0,756.0,150.0,27.0,2.0,18.0,78.0,0.0,7.0,157.0,0.0,6.0,2.44,4.57,1.24,202.1,108.5,8.14,3.94,125000
2,3.0,스트레일리,1988-12-01,Lotte Giants,2020,31.0,0.0,0.0,31.0,15.0,4.0,0.0,0.0,194.2,61.0,54.0,777.0,148.0,27.0,2.0,10.0,51.0,0.0,7.0,205.0,0.0,4.0,2.5,3.01,1.02,195.1,159.0,7.53,3.84,50000
3,4.0,양현종,1988-03-01,Kia Tigers,2019,29.0,2.0,2.0,29.0,16.0,8.0,0.0,0.0,184.2,56.0,47.0,731.0,165.0,32.0,1.0,6.0,33.0,0.0,2.0,163.0,0.0,1.0,2.29,2.63,1.07,183.1,160.3,7.35,3.81,3400
3,4.0,양현종,1988-03-01,Kia Tigers,2019,29.0,2.0,2.0,29.0,16.0,8.0,0.0,0.0,184.2,56.0,47.0,731.0,165.0,32.0,1.0,6.0,33.0,0.0,2.0,163.0,0.0,1.0,2.29,2.63,1.07,183.1,160.3,7.35,3.81,230000
5,6.0,린드블럼,1987-06-15,Doosan Bears,2019,30.0,0.0,0.0,30.0,20.0,3.0,0.0,0.0,194.2,57.0,54.0,773.0,165.0,22.0,3.0,13.0,29.0,0.0,6.0,189.0,0.0,7.0,2.5,2.87,1.0,164.4,141.5,6.86,4.44,2900
5,6.0,린드블럼,1987-06-15,Doosan Bears,2019,30.0,0.0,0.0,30.0,20.0,3.0,0.0,0.0,194.2,57.0,54.0,773.0,165.0,22.0,3.0,13.0,29.0,0.0,6.0,189.0,0.0,7.0,2.5,2.87,1.0,164.4,141.5,6.86,4.44,140000
6,7.0,린드블럼,1987-06-15,Doosan Bears,2018,26.0,0.0,0.0,26.0,15.0,4.0,0.0,0.0,168.2,56.0,54.0,681.0,142.0,33.0,2.0,16.0,38.0,0.0,8.0,157.0,0.0,10.0,2.88,4.02,1.07,175.4,125.2,6.81,2.06,210000
6,7.0,린드블럼,1987-06-15,Doosan Bears,2018,26.0,0.0,0.0,26.0,15.0,4.0,0.0,0.0,168.2,56.0,54.0,681.0,142.0,33.0,2.0,16.0,38.0,0.0,8.0,157.0,0.0,10.0,2.88,4.02,1.07,175.4,125.2,6.81,2.06,9000
6,7.0,린드블럼,1987-06-15,Doosan Bears,2018,26.0,0.0,0.0,26.0,15.0,4.0,0.0,0.0,168.2,56.0,54.0,681.0,142.0,33.0,2.0,16.0,38.0,0.0,8.0,157.0,0.0,10.0,2.88,4.02,1.07,175.4,125.2,6.81,2.06,140000
6,7.0,린드블럼,1987-06-15,Doosan Bears,2018,26.0,0.0,0.0,26.0,15.0,4.0,0.0,0.0,168.2,56.0,54.0,681.0,142.0,33.0,2.0,16.0,38.0,0.0,8.0,157.0,0.0,10.0,2.88,4.02,1.07,175.4,125.2,6.81,2.06,2900
6,7.0,린드블럼,1987-06-15,Doosan Bears,2018,26.0,0.0,0.0,26.0,15.0,4.0,0.0,0.0,168.2,56.0,54.0,681.0,142.0,33.0,2.0,16.0,38.0,0.0,8.0,157.0,0.0,10.0,2.88,4.02,1.07,175.4,125.2,6.81,2.06,170000
7,8.0,헥터,1987-01-26,Kia Tigers,2016,31.0,3.0,1.0,31.0,15.0,5.0,0.0,0.0,206.2,88.0,78.0,868.0,211.0,34.0,3.0,7.0,51.0,0.0,6.0,139.0,0.0,7.0,3.4,3.72,1.27,152.5,140.6,6.64,1.87,4000
8,9.0,린드블럼,1987-06-15,Lotte Giants,2015,32.0,2.0,1.0,32.0,13.0,11.0,0.0,0.0,210.0,86.0,83.0,861.0,196.0,32.0,3.0,28.0,52.0,0.0,12.0,180.0,0.0,12.0,3.56,4.55,1.18,141.7,108.6,6.48,1.95,85000
8,9.0,린드블럼,1987-06-15,Lotte Giants,2015,32.0,2.0,1.0,32.0,13.0,11.0,0.0,0.0,210.0,86.0,83.0,861.0,196.0,32.0,3.0,28.0,52.0,0.0,12.0,180.0,0.0,12.0,3.56,4.55,1.18,141.7,108.6,6.48,1.95,120000
8,9.0,린드블럼,1987-06-15,Lotte Giants,2015,32.0,2.0,1.0,32.0,13.0,11.0,0.0,0.0,210.0,86.0,83.0,861.0,196.0,32.0,3.0,28.0,52.0,0.0,12.0,180.0,0.0,12.0,3.56,4.55,1.18,141.7,108.6,6.48,1.95,4000
9,10.0,김광현,1988-07-22,SSG Landers,2019,31.0,0.0,0.0,30.0,17.0,6.0,0.0,0.0,190.1,64.0,53.0,786.0,198.0,17.0,0.0,13.0,38.0,1.0,2.0,180.0,0.0,8.0,2.51,3.01,1.24,169.8,142.2,6.39,3.28,40000
9,10.0,김광현,1988-07-22,SSG Landers,2019,31.0,0.0,0.0,30.0,17.0,6.0,0.0,0.0,190.1,64.0,53.0,786.0,198.0,17.0,0.0,13.0,38.0,1.0,2.0,180.0,0.0,8.0,2.51,3.01,1.24,169.8,142.2,6.39,3.28,4200
9,10.0,김광현,1988-07-22,SSG Landers,2019,31.0,0.0,0.0,30.0,17.0,6.0,0.0,0.0,190.1,64.0,53.0,786.0,198.0,17.0,0.0,13.0,38.0,1.0,2.0,180.0,0.0,8.0,2.51,3.01,1.24,169.8,142.2,6.39,3.28,70000
10,11.0,윌슨,1989-09-25,LG Twins,2018,26.0,1.0,1.0,26.0,9.0,4.0,0.0,0.0,170.0,63.0,58.0,689.0,158.0,23.0,3.0,11.0,35.0,1.0,6.0,149.0,1.0,10.0,3.07,3.63,1.14,164.3,139.4,6.31,2.72,85000
11,12.0,니퍼트,1981-05-06,Doosan Bears,2016,28.0,1.0,1.0,27.0,22.0,3.0,0.0,0.0,167.2,61.0,55.0,701.0,151.0,19.0,3.0,15.0,57.0,0.0,9.0,142.0,0.0,8.0,2.95,4.44,1.24,173.1,113.2,5.97,2.69,3000
11,12.0,니퍼트,1981-05-06,Doosan Bears,2016,28.0,1.0,1.0,27.0,22.0,3.0,0.0,0.0,167.2,61.0,55.0,701.0,151.0,19.0,3.0,15.0,57.0,0.0,9.0,142.0,0.0,8.0,2.95,4.44,1.24,173.1,113.2,5.97,2.69,80000
12,13.0,켈리,1988-10-14,SSG Landers,2016,31.0,0.0,0.0,31.0,9.0,8.0,0.0,0.0,200.1,91.0,82.0,846.0,205.0,35.0,3.0,15.0,60.0,0.0,7.0,152.0,2.0,8.0,3.68,4.25,1.32,141.7,122.9,5.95,1.32,100000
15,16.0,브리검,1988-02-10,Nexen Heroes,2018,31.0,2.0,1.0,30.0,11.0,7.0,0.0,1.0,199.0,89.0,85.0,829.0,188.0,28.0,3.0,19.0,50.0,0.0,19.0,175.0,0.0,4.0,3.84,4.36,1.2,134.1,117.4,5.78,0.2,13000
15,16.0,브리검,1988-02-10,Nexen Heroes,2018,31.0,2.0,1.0,30.0,11.0,7.0,0.0,1.0,199.0,89.0,85.0,829.0,188.0,28.0,3.0,19.0,50.0,0.0,19.0,175.0,0.0,4.0,3.84,4.36,1.2,134.1,117.4,5.78,0.2,15000
16,17.0,양현종,1988-03-01,Kia Tigers,2016,31.0,3.0,0.0,31.0,10.0,12.0,0.0,0.0,200.1,96.0,82.0,850.0,191.0,31.0,2.0,19.0,77.0,0.0,2.0,146.0,2.0,6.0,3.68,4.75,1.34,140.6,109.9,5.69,0.23,75000
16,17.0,양현종,1988-03-01,Kia Tigers,2016,31.0,3.0,0.0,31.0,10.0,12.0,0.0,0.0,200.1,96.0,82.0,850.0,191.0,31.0,2.0,19.0,77.0,0.0,2.0,146.0,2.0,6.0,3.68,4.75,1.34,140.6,109.9,5.69,0.23,125000
16,17.0,양현종,1988-03-01,Kia Tigers,2016,31.0,3.0,0.0,31.0,10.0,12.0,0.0,0.0,200.1,96.0,82.0,850.0,191.0,31.0,2.0,19.0,77.0,0.0,2.0,146.0,2.0,6.0,3.68,4.75,1.34,140.6,109.9,5.69,0.23,45000
17,18.0,장원준,1985-07-31,Doosan Bears,2016,27.0,0.0,0.0,27.0,15.0,6.0,0.0,0.0,168.0,66.0,62.0,727.0,161.0,23.0,6.0,14.0,76.0,0.0,9.0,137.0,0.0,8.0,3.32,4.76,1.41,153.9,105.9,5.67,1.29,65000
17,18.0,장원준,1985-07-31,Doosan Bears,2016,27.0,0.0,0.0,27.0,15.0,6.0,0.0,0.0,168.0,66.0,62.0,727.0,161.0,23.0,6.0,14.0,76.0,0.0,9.0,137.0,0.0,8.0,3.32,4.76,1.41,153.9,105.9,5.67,1.29,50000
17,18.0,장원준,1985-07-31,Doosan Bears,2016,27.0,0.0,0.0,27.0,15.0,6.0,0.0,0.0,168.0,66.0,62.0,727.0,161.0,23.0,6.0,14.0,76.0,0.0,9.0,137.0,0.0,8.0,3.32,4.76,1.41,153.9,105.9,5.67,1.29,7200
18,19.0,해커,1983-03-26,NC Dinos,2015,31.0,1.0,0.0,31.0,19.0,5.0,0.0,0.0,204.0,81.0,71.0,833.0,174.0,34.0,0.0,14.0,36.0,1.0,25.0,164.0,0.0,6.0,3.13,3.78,1.03,152.9,129.0,5.64,3.14,40000
21,22.0,장원준,1985-07-31,Doosan Bears,2017,29.0,1.0,1.0,29.0,14.0,9.0,0.0,0.0,180.1,70.0,63.0,760.0,172.0,26.0,2.0,12.0,51.0,2.0,14.0,125.0,0.0,3.0,3.14,4.26,1.24,153.1,114.0,5.41,1.41,50000
21,22.0,장원준,1985-07-31,Doosan Bears,2017,29.0,1.0,1.0,29.0,14.0,9.0,0.0,0.0,180.1,70.0,63.0,760.0,172.0,26.0,2.0,12.0,51.0,2.0,14.0,125.0,0.0,3.0,3.14,4.26,1.24,153.1,114.0,5.41,1.41,9000
21,22.0,장원준,1985-07-31,Doosan Bears,2017,29.0,1.0,1.0,29.0,14.0,9.0,0.0,0.0,180.1,70.0,63.0,760.0,172.0,26.0,2.0,12.0,51.0,2.0,14.0,125.0,0.0,3.0,3.14,4.26,1.24,153.1,114.0,5.41,1.41,65000
22,23.0,김광현,1988-07-22,SSG Landers,2018,25.0,0.0,0.0,25.0,11.0,8.0,0.0,0.0,136.0,48.0,45.0,554.0,125.0,16.0,2.0,16.0,30.0,0.0,2.0,130.0,0.0,3.0,2.98,4.16,1.14,176.5,127.4,5.26,1.91,85000
22,23.0,김광현,1988-07-22,SSG Landers,2018,25.0,0.0,0.0,25.0,11.0,8.0,0.0,0.0,136.0,48.0,45.0,554.0,125.0,16.0,2.0,16.0,30.0,0.0,2.0,130.0,0.0,3.0,2.98,4.16,1.14,176.5,127.4,5.26,1.91,4200
22,23.0,김광현,1988-07-22,SSG Landers,2018,25.0,0.0,0.0,25.0,11.0,8.0,0.0,0.0,136.0,48.0,45.0,554.0,125.0,16.0,2.0,16.0,30.0,0.0,2.0,130.0,0.0,3.0,2.98,4.16,1.14,176.5,127.4,5.26,1.91,70000
22,23.0,김광현,1988-07-22,SSG Landers,2018,25.0,0.0,0.0,25.0,11.0,8.0,0.0,0.0,136.0,48.0,45.0,554.0,125.0,16.0,2.0,16.0,30.0,0.0,2.0,130.0,0.0,3.0,2.98,4.16,1.14,176.5,127.4,5.26,1.91,40000
23,24.0,피어밴드,1985-08-22,KT Wiz,2017,26.0,1.0,1.0,26.0,8.0,10.0,0.0,0.0,160.0,67.0,54.0,657.0,153.0,19.0,4.0,20.0,31.0,0.0,7.0,132.0,0.0,4.0,3.04,4.42,1.15,166.9,112.8,5.26,1.0,65000
23,24.0,피어밴드,1985-08-22,KT Wiz,2017,26.0,1.0,1.0,26.0,8.0,10.0,0.0,0.0,160.0,67.0,54.0,657.0,153.0,19.0,4.0,20.0,31.0,0.0,7.0,132.0,0.0,4.0,3.04,4.42,1.15,166.9,112.8,5.26,1.0,33000
23,24.0,피어밴드,1985-08-22,KT Wiz,2017,26.0,1.0,1.0,26.0,8.0,10.0,0.0,0.0,160.0,67.0,54.0,657.0,153.0,19.0,4.0,20.0,31.0,0.0,7.0,132.0,0.0,4.0,3.04,4.42,1.15,166.9,112.8,5.26,1.0,15000
24,25.0,양현종,1988-03-01,Kia Tigers,2018,29.0,3.0,0.0,29.0,13.0,11.0,0.0,0.0,184.1,88.0,85.0,772.0,199.0,33.0,0.0,21.0,43.0,1.0,2.0,152.0,0.0,5.0,4.15,4.38,1.31,123.7,117.9,5.21,-1.06,3400
24,25.0,양현종,1988-03-01,Kia Tigers,2018,29.0,3.0,0.0,29.0,13.0,11.0,0.0,0.0,184.1,88.0,85.0,772.0,199.0,33.0,0.0,21.0,43.0,1.0,2.0,152.0,0.0,5.0,4.15,4.38,1.31,123.7,117.9,5.21,-1.06,230000
24,25.0,양현종,1988-03-01,Kia Tigers,2018,29.0,3.0,0.0,29.0,13.0,11.0,0.0,0.0,184.1,88.0,85.0,772.0,199.0,33.0,0.0,21.0,43.0,1.0,2.0,152.0,0.0,5.0,4.15,4.38,1.31,123.7,117.9,5.21,-1.06,35000
24,25.0,양현종,1988-03-01,Kia Tigers,2018,29.0,3.0,0.0,29.0,13.0,11.0,0.0,0.0,184.1,88.0,85.0,772.0,199.0,33.0,0.0,21.0,43.0,1.0,2.0,152.0,0.0,5.0,4.15,4.38,1.31,123.7,117.9,5.21,-1.06,125000
25,26.0,밴헤켄,1979-07-31,Nexen Heroes,2015,32.0,0.0,0.0,32.0,15.0,8.0,0.0,0.0,196.2,92.0,79.0,825.0,190.0,36.0,3.0,14.0,67.0,1.0,1.0,193.0,0.0,16.0,3.62,3.6,1.31,137.7,137.6,5.12,0.54,0
25,26.0,밴헤켄,1979-07-31,Nexen Heroes,2015,32.0,0.0,0.0,32.0,15.0,8.0,0.0,0.0,196.2,92.0,79.0,825.0,190.0,36.0,3.0,14.0,67.0,1.0,1.0,193.0,0.0,16.0,3.62,3.6,1.31,137.7,137.6,5.12,0.54,7900
26,27.0,신재영,1989-11-18,Nexen Heroes,2016,30.0,0.0,0.0,30.0,15.0,7.0,0.0,0.0,168.2,76.0,73.0,718.0,192.0,35.0,6.0,19.0,21.0,0.0,11.0,99.0,1.0,2.0,3.9,4.65,1.26,134.8,111.3,5.08,1.09,2700
27,28.0,켈리,1988-10-14,SSG Landers,2017,30.0,0.0,0.0,30.0,16.0,7.0,0.0,0.0,190.0,85.0,76.0,815.0,204.0,38.0,3.0,16.0,45.0,2.0,11.0,189.0,1.0,9.0,3.6,3.69,1.31,139.8,136.9,5.06,1.6,100000
28,29.0,레일리,1988-06-29,Lotte Giants,2017,30.0,1.0,0.0,30.0,13.0,7.0,0.0,0.0,187.1,87.0,79.0,798.0,199.0,39.0,2.0,19.0,44.0,0.0,17.0,156.0,1.0,3.0,3.8,4.37,1.3,132.7,115.2,5.03,1.25,7500
28,29.0,레일리,1988-06-29,Lotte Giants,2017,30.0,1.0,0.0,30.0,13.0,7.0,0.0,0.0,187.1,87.0,79.0,798.0,199.0,39.0,2.0,19.0,44.0,0.0,17.0,156.0,1.0,3.0,3.8,4.37,1.3,132.7,115.2,5.03,1.25,50000
29,30.0,허프,1984-08-22,LG Twins,2017,19.0,2.0,0.0,17.0,6.0,4.0,0.0,0.0,124.2,37.0,33.0,490.0,100.0,20.0,2.0,7.0,14.0,0.0,2.0,98.0,0.0,2.0,2.38,3.28,0.91,203.3,148.5,4.96,2.93,6300
30,31.0,소사,1985-07-28,LG Twins,2018,27.0,1.0,1.0,27.0,9.0,9.0,0.0,0.0,181.1,83.0,71.0,760.0,192.0,44.0,1.0,16.0,28.0,1.0,4.0,181.0,0.0,6.0,3.52,3.5,1.21,143.2,143.3,4.95,0.16,5200
30,31.0,소사,1985-07-28,LG Twins,2018,27.0,1.0,1.0,27.0,9.0,9.0,0.0,0.0,181.1,83.0,71.0,760.0,192.0,44.0,1.0,16.0,28.0,1.0,4.0,181.0,0.0,6.0,3.52,3.5,1.21,143.2,143.3,4.95,0.16,20000
30,31.0,소사,1985-07-28,LG Twins,2018,27.0,1.0,1.0,27.0,9.0,9.0,0.0,0.0,181.1,83.0,71.0,760.0,192.0,44.0,1.0,16.0,28.0,1.0,4.0,181.0,0.0,6.0,3.52,3.5,1.21,143.2,143.3,4.95,0.16,12000
30,31.0,소사,1985-07-28,LG Twins,2018,27.0,1.0,1.0,27.0,9.0,9.0,0.0,0.0,181.1,83.0,71.0,760.0,192.0,44.0,1.0,16.0,28.0,1.0,4.0,181.0,0.0,6.0,3.52,3.5,1.21,143.2,143.3,4.95,0.16,7000
31,32.0,우규민,1985-01-21,LG Twins,2015,25.0,1.0,0.0,25.0,11.0,9.0,0.0,0.0,152.2,64.0,58.0,621.0,163.0,26.0,5.0,13.0,17.0,0.0,12.0,119.0,0.0,2.0,3.42,3.73,1.18,137.3,125.5,4.95,0.99,0
31,32.0,우규민,1985-01-21,LG Twins,2015,25.0,1.0,0.0,25.0,11.0,9.0,0.0,0.0,152.2,64.0,58.0,621.0,163.0,26.0,5.0,13.0,17.0,0.0,12.0,119.0,0.0,2.0,3.42,3.73,1.18,137.3,125.5,4.95,0.99,11000
32,33.0,해커,1983-03-26,NC Dinos,2016,23.0,0.0,0.0,23.0,13.0,3.0,0.0,0.0,140.2,57.0,54.0,587.0,132.0,18.0,1.0,14.0,31.0,0.0,10.0,119.0,0.0,5.0,3.45,4.27,1.16,147.3,120.5,4.88,0.54,40000
32,33.0,해커,1983-03-26,NC Dinos,2016,23.0,0.0,0.0,23.0,13.0,3.0,0.0,0.0,140.2,57.0,54.0,587.0,132.0,18.0,1.0,14.0,31.0,0.0,10.0,119.0,0.0,5.0,3.45,4.27,1.16,147.3,120.5,4.88,0.54,2900
32,33.0,해커,1983-03-26,NC Dinos,2016,23.0,0.0,0.0,23.0,13.0,3.0,0.0,0.0,140.2,57.0,54.0,587.0,132.0,18.0,1.0,14.0,31.0,0.0,10.0,119.0,0.0,5.0,3.45,4.27,1.16,147.3,120.5,4.88,0.54,2700
34,35.0,니퍼트,1981-05-06,Kia Tigers,2018,29.0,0.0,0.0,28.0,8.0,8.0,0.0,0.0,175.2,88.0,83.0,765.0,209.0,33.0,4.0,26.0,39.0,2.0,9.0,165.0,0.0,9.0,4.25,4.66,1.41,124.6,111.4,4.74,-0.06,6000
34,35.0,니퍼트,1981-05-06,Kia Tigers,2018,29.0,0.0,0.0,28.0,8.0,8.0,0.0,0.0,175.2,88.0,83.0,765.0,209.0,33.0,4.0,26.0,39.0,2.0,9.0,165.0,0.0,9.0,4.25,4.66,1.41,124.6,111.4,4.74,-0.06,65000
34,35.0,니퍼트,1981-05-06,Kia Tigers,2018,29.0,0.0,0.0,28.0,8.0,8.0,0.0,0.0,175.2,88.0,83.0,765.0,209.0,33.0,4.0,26.0,39.0,2.0,9.0,165.0,0.0,9.0,4.25,4.66,1.41,124.6,111.4,4.74,-0.06,80000
36,37.0,루친스키,1988-12-30,NC Dinos,2019,30.0,2.0,0.0,30.0,9.0,9.0,0.0,0.0,177.1,68.0,60.0,731.0,164.0,20.0,1.0,13.0,45.0,0.0,11.0,119.0,0.0,7.0,3.05,3.96,1.18,138.4,106.6,4.64,2.51,110000
36,37.0,루친스키,1988-12-30,NC Dinos,2019,30.0,2.0,0.0,30.0,9.0,9.0,0.0,0.0,177.1,68.0,60.0,731.0,164.0,20.0,1.0,13.0,45.0,0.0,11.0,119.0,0.0,7.0,3.05,3.96,1.18,138.4,106.6,4.64,2.51,117000
37,38.0,박세웅,1995-11-30,Lotte Giants,2017,28.0,0.0,0.0,28.0,12.0,6.0,0.0,0.0,171.1,74.0,70.0,725.0,170.0,25.0,1.0,21.0,56.0,2.0,9.0,117.0,0.0,7.0,3.68,5.07,1.32,137.0,99.3,4.63,1.23,18000
38,39.0,구창모,1997-02-17,NC Dinos,2020,15.0,0.0,0.0,14.0,9.0,0.0,0.0,1.0,93.1,20.0,18.0,348.0,58.0,12.0,0.0,7.0,18.0,0.0,0.0,102.0,0.0,2.0,1.74,2.92,0.81,281.5,165.6,4.62,2.8,12500
38,39.0,구창모,1997-02-17,NC Dinos,2020,15.0,0.0,0.0,14.0,9.0,0.0,0.0,1.0,93.1,20.0,18.0,348.0,58.0,12.0,0.0,7.0,18.0,0.0,0.0,102.0,0.0,2.0,1.74,2.92,0.81,281.5,165.6,4.62,2.8,22000
39,40.0,양현종,1988-03-01,Kia Tigers,2017,31.0,1.0,0.0,31.0,20.0,6.0,0.0,0.0,193.1,88.0,74.0,808.0,209.0,32.0,2.0,17.0,45.0,0.0,0.0,158.0,0.0,14.0,3.44,3.94,1.31,144.2,126.8,4.56,1.31,2700
39,40.0,양현종,1988-03-01,Kia Tigers,2017,31.0,1.0,0.0,31.0,20.0,6.0,0.0,0.0,193.1,88.0,74.0,808.0,209.0,32.0,2.0,17.0,45.0,0.0,0.0,158.0,0.0,14.0,3.44,3.94,1.31,144.2,126.8,4.56,1.31,150000
39,40.0,양현종,1988-03-01,Kia Tigers,2017,31.0,1.0,0.0,31.0,20.0,6.0,0.0,0.0,193.1,88.0,74.0,808.0,209.0,32.0,2.0,17.0,45.0,0.0,0.0,158.0,0.0,14.0,3.44,3.94,1.31,144.2,126.8,4.56,1.31,35000
40,41.0,해커,1983-03-26,NC Dinos,2017,26.0,1.0,0.0,26.0,12.0,7.0,0.0,0.0,160.1,64.0,61.0,672.0,159.0,19.0,2.0,14.0,29.0,1.0,14.0,97.0,2.0,6.0,3.42,4.45,1.17,144.8,112.4,4.5,1.4,11000
40,41.0,해커,1983-03-26,NC Dinos,2017,26.0,1.0,0.0,26.0,12.0,7.0,0.0,0.0,160.1,64.0,61.0,672.0,159.0,19.0,2.0,14.0,29.0,1.0,14.0,97.0,2.0,6.0,3.42,4.45,1.17,144.8,112.4,4.5,1.4,100000
40,41.0,해커,1983-03-26,NC Dinos,2017,26.0,1.0,0.0,26.0,12.0,7.0,0.0,0.0,160.1,64.0,61.0,672.0,159.0,19.0,2.0,14.0,29.0,1.0,14.0,97.0,2.0,6.0,3.42,4.45,1.17,144.8,112.4,4.5,1.4,4400
41,42.0,채드벨,1989-02-28,Hanwha Eagles,2019,29.0,0.0,0.0,29.0,11.0,10.0,0.0,0.0,177.1,73.0,69.0,749.0,169.0,33.0,2.0,14.0,63.0,0.0,10.0,134.0,1.0,8.0,3.5,4.15,1.31,118.3,100.2,4.49,1.53,120000
42,43.0,켈리,1988-10-14,SSG Landers,2015,30.0,1.0,0.0,29.0,11.0,10.0,0.0,0.0,181.0,87.0,83.0,775.0,188.0,28.0,1.0,16.0,54.0,1.0,5.0,139.0,2.0,9.0,4.13,4.19,1.34,117.0,115.8,4.4,-0.13,2700
42,43.0,켈리,1988-10-14,SSG Landers,2015,30.0,1.0,0.0,29.0,11.0,10.0,0.0,0.0,181.0,87.0,83.0,775.0,188.0,28.0,1.0,16.0,54.0,1.0,5.0,139.0,2.0,9.0,4.13,4.19,1.34,117.0,115.8,4.4,-0.13,100000
43,44.0,유희관,1986-06-01,Doosan Bears,2015,30.0,1.0,1.0,30.0,18.0,5.0,0.0,0.0,189.2,84.0,83.0,786.0,193.0,33.0,5.0,23.0,44.0,0.0,4.0,126.0,1.0,4.0,3.94,4.62,1.25,119.0,100.2,4.4,0.64,17400
43,44.0,유희관,1986-06-01,Doosan Bears,2015,30.0,1.0,1.0,30.0,18.0,5.0,0.0,0.0,189.2,84.0,83.0,786.0,193.0,33.0,5.0,23.0,44.0,0.0,4.0,126.0,1.0,4.0,3.94,4.62,1.25,119.0,100.2,4.4,0.64,18000
44,45.0,스튜어트,1986-09-28,NC Dinos,2015,19.0,0.0,0.0,19.0,8.0,2.0,0.0,0.0,117.2,37.0,35.0,488.0,116.0,16.0,1.0,7.0,26.0,0.0,6.0,109.0,1.0,4.0,2.68,3.35,1.21,179.0,145.5,4.32,1.46,25000
45,46.0,켈리,1989-10-04,LG Twins,2020,28.0,1.0,1.0,28.0,15.0,7.0,0.0,0.0,173.1,67.0,64.0,705.0,160.0,29.0,1.0,16.0,40.0,0.0,11.0,134.0,0.0,4.0,3.32,4.09,1.15,139.3,112.7,4.26,1.64,5900
45,46.0,켈리,1989-10-04,LG Twins,2020,28.0,1.0,1.0,28.0,15.0,7.0,0.0,0.0,173.1,67.0,64.0,705.0,160.0,29.0,1.0,16.0,40.0,0.0,11.0,134.0,0.0,4.0,3.32,4.09,1.15,139.3,112.7,4.26,1.64,15000
47,48.0,소사,1985-07-28,LG Twins,2015,32.0,2.0,1.0,30.0,10.0,12.0,0.0,1.0,194.1,102.0,87.0,809.0,199.0,39.0,7.0,16.0,36.0,0.0,5.0,177.0,1.0,6.0,4.03,3.5,1.21,116.5,134.0,4.23,-1.1,17000
