,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA
237,238.0,조상우,1994-09-04,Kiwoom Heroes,2019,48.0,0.0,0.0,0.0,2.0,4.0,20.0,8.0,47.1,15.0,14.0,192.0,45.0,3.0,0.0,3.0,8.0,0.0,2.0,46.0,0.0,1.0,2.66,2.92,1.12,155.5,141.0,1.75,2.1
238,239.0,코엘로,1984-11-23,Nexen Heroes,2016,12.0,0.0,0.0,12.0,6.0,5.0,0.0,0.0,62.0,29.0,26.0,271.0,50.0,7.0,0.0,6.0,42.0,0.0,2.0,46.0,0.0,0.0,3.77,5.7,1.48,139.1,91.0,1.75,0.1
239,240.0,한현희,1993-06-25,Nexen Heroes,2017,38.0,0.0,0.0,13.0,5.0,6.0,5.0,5.0,106.2,61.0,53.0,457.0,105.0,22.0,2.0,14.0,17.0,0.0,17.0,79.0,0.0,3.0,4.47,4.92,1.14,111.2,99.3,1.74,-1.8
240,241.0,김세현,1987-08-07,Nexen Heroes,2015,57.0,1.0,1.0,4.0,4.0,5.0,0.0,6.0,90.1,47.0,44.0,389.0,90.0,12.0,3.0,14.0,28.0,0.0,7.0,85.0,0.0,6.0,4.38,4.91,1.31,113.5,101.5,1.74,-1.41
241,242.0,장필준,1988-04-08,Samsung Lions,2019,61.0,0.0,0.0,0.0,3.0,3.0,11.0,15.0,69.2,29.0,28.0,302.0,64.0,12.0,1.0,7.0,33.0,3.0,3.0,53.0,0.0,4.0,3.62,4.61,1.39,120.0,92.5,1.74,0.79
242,243.0,김상수,1988-01-02,Kiwoom Heroes,2019,67.0,0.0,0.0,0.0,3.0,5.0,0.0,40.0,56.2,19.0,18.0,238.0,50.0,6.0,0.0,3.0,28.0,1.0,2.0,60.0,0.0,0.0,2.86,3.51,1.38,144.8,117.7,1.73,1.04
243,244.0,박치국,1998-03-10,Doosan Bears,2018,67.0,0.0,0.0,0.0,1.0,5.0,3.0,17.0,67.0,30.0,27.0,293.0,80.0,13.0,0.0,5.0,15.0,4.0,9.0,60.0,1.0,1.0,3.63,3.91,1.42,139.4,129.6,1.72,0.27
244,245.0,노경은,1984-03-11,Lotte Giants,2020,25.0,1.0,0.0,24.0,5.0,10.0,0.0,0.0,133.0,76.0,72.0,574.0,139.0,31.0,1.0,19.0,40.0,2.0,3.0,77.0,0.0,3.0,4.87,5.18,1.35,100.0,92.7,1.7,-0.54
245,246.0,이재학,1990-10-04,NC Dinos,2019,24.0,0.0,0.0,23.0,10.0,4.0,0.0,0.0,129.2,62.0,55.0,560.0,133.0,24.0,2.0,6.0,43.0,0.0,9.0,91.0,0.0,6.0,3.82,3.8,1.36,110.4,110.9,1.7,0.29
246,247.0,김재윤,1990-09-16,Kia Tigers,2019,43.0,0.0,0.0,0.0,2.0,2.0,7.0,9.0,47.2,13.0,12.0,177.0,27.0,3.0,0.0,4.0,12.0,2.0,1.0,42.0,0.0,1.0,2.27,3.42,0.82,182.7,120.2,1.68,1.38
247,248.0,신재웅,1982-03-28,SSG Landers,2018,54.0,0.0,0.0,0.0,2.0,3.0,16.0,6.0,52.0,23.0,16.0,226.0,49.0,3.0,0.0,5.0,28.0,0.0,1.0,43.0,0.0,3.0,2.77,5.1,1.48,189.9,102.8,1.68,-0.38
248,249.0,윤규진,1984-07-28,Hanwha Eagles,2017,36.0,0.0,0.0,18.0,8.0,7.0,0.0,2.0,119.0,71.0,69.0,526.0,138.0,20.0,2.0,19.0,44.0,0.0,4.0,93.0,0.0,5.0,5.22,5.46,1.53,96.4,92.9,1.68,-0.29
249,250.0,채병용,1982-04-25,SSG Landers,2016,68.0,0.0,0.0,0.0,6.0,3.0,2.0,9.0,83.2,43.0,40.0,345.0,77.0,14.0,1.0,9.0,29.0,1.0,3.0,67.0,0.0,2.0,4.3,4.7,1.27,121.3,111.5,1.67,1.93
250,251.0,문승원,1989-11-28,SSG Landers,2017,29.0,1.0,0.0,29.0,6.0,12.0,0.0,0.0,155.1,98.0,92.0,695.0,181.0,32.0,2.0,25.0,54.0,1.0,11.0,86.0,1.0,5.0,5.33,5.96,1.51,94.4,85.1,1.67,-1.89
251,252.0,이민호,1993-08-11,NC Dinos,2017,60.0,0.0,0.0,3.0,5.0,1.0,3.0,6.0,88.2,46.0,40.0,388.0,88.0,21.0,2.0,10.0,30.0,4.0,8.0,86.0,0.0,5.0,4.06,4.41,1.33,122.1,113.3,1.66,-0.67
252,253.0,오현택,1985-07-17,Lotte Giants,2018,72.0,0.0,0.0,0.0,3.0,2.0,0.0,25.0,64.2,32.0,27.0,268.0,66.0,9.0,0.0,11.0,12.0,0.0,3.0,63.0,1.0,2.0,3.76,4.79,1.21,138.8,109.3,1.64,0.11
253,254.0,임창민,1985-08-25,NC Dinos,2015,61.0,0.0,0.0,0.0,1.0,5.0,31.0,0.0,64.0,28.0,27.0,266.0,57.0,5.0,2.0,7.0,21.0,2.0,1.0,72.0,0.0,3.0,3.8,3.73,1.22,126.2,130.7,1.64,2.04
254,255.0,구창모,1997-02-17,NC Dinos,2018,36.0,0.0,0.0,23.0,5.0,11.0,0.0,1.0,133.0,83.0,79.0,598.0,158.0,31.0,2.0,21.0,52.0,0.0,7.0,116.0,1.0,16.0,5.35,5.47,1.58,97.1,96.1,1.63,-1.07
255,256.0,정재훈,1980-01-01,Doosan Bears,2016,46.0,0.0,0.0,0.0,1.0,5.0,2.0,23.0,52.1,21.0,19.0,219.0,43.0,10.0,1.0,3.0,17.0,1.0,5.0,56.0,0.0,2.0,3.27,3.6,1.15,156.4,140.9,1.62,0.9
256,257.0,차우찬,1987-05-31,Samsung Lions,2015,31.0,0.0,0.0,29.0,13.0,7.0,0.0,1.0,173.0,98.0,92.0,743.0,160.0,36.0,1.0,28.0,74.0,1.0,5.0,194.0,1.0,9.0,4.79,4.83,1.35,103.2,101.8,1.62,-0.03
257,258.0,윤명준,1989-06-18,Doosan Bears,2019,69.0,0.0,0.0,0.0,6.0,2.0,1.0,14.0,68.1,23.0,20.0,279.0,63.0,14.0,0.0,3.0,20.0,2.0,3.0,40.0,0.0,7.0,2.63,3.73,1.22,155.8,110.3,1.62,0.36
258,259.0,전상현,1996-04-18,Kia Tigers,2020,47.0,0.0,0.0,0.0,2.0,2.0,15.0,13.0,47.2,21.0,13.0,198.0,35.0,6.0,1.0,4.0,22.0,0.0,0.0,64.0,0.0,2.0,2.45,3.35,1.2,195.5,145.0,1.61,1.87
259,260.0,김원중,1993-06-14,Lotte Giants,2020,58.0,0.0,0.0,0.0,5.0,4.0,25.0,0.0,59.1,29.0,26.0,249.0,52.0,14.0,1.0,8.0,23.0,5.0,0.0,57.0,0.0,1.0,3.94,4.3,1.26,123.5,111.8,1.61,-0.63
260,261.0,윌랜드,1990-01-21,Kia Tigers,2019,28.0,0.0,0.0,28.0,8.0,10.0,0.0,0.0,165.0,95.0,87.0,726.0,191.0,41.0,1.0,17.0,59.0,1.0,5.0,137.0,0.0,4.0,4.75,4.23,1.52,88.4,99.0,1.61,-0.78
261,262.0,이승현,1991-11-20,Samsung Lions,2020,65.0,0.0,0.0,0.0,1.0,2.0,0.0,14.0,54.1,22.0,21.0,226.0,45.0,7.0,1.0,11.0,25.0,1.0,0.0,52.0,0.0,2.0,3.48,5.6,1.29,141.0,88.2,1.61,0.25
262,263.0,오주원,1985-03-31,Kiwoom Heroes,2019,57.0,0.0,0.0,0.0,3.0,3.0,18.0,3.0,54.1,17.0,14.0,223.0,54.0,7.0,0.0,1.0,7.0,0.0,3.0,41.0,0.0,1.0,2.32,2.69,1.12,178.5,155.1,1.6,1.33
263,264.0,저마노,1982-08-06,KT Wiz,2015,15.0,0.0,0.0,14.0,3.0,6.0,0.0,1.0,76.2,46.0,42.0,347.0,111.0,17.0,2.0,7.0,15.0,0.0,3.0,40.0,0.0,1.0,4.93,4.46,1.64,101.9,109.4,1.58,-0.99
264,265.0,임창용,1976-06-04,Kia Tigers,2018,37.0,0.0,0.0,12.0,5.0,5.0,4.0,4.0,86.1,54.0,52.0,388.0,92.0,24.0,1.0,16.0,29.0,1.0,11.0,84.0,0.0,5.0,5.42,5.65,1.4,94.7,91.2,1.56,-0.99
265,266.0,지크,1989-09-11,Kia Tigers,2016,30.0,0.0,0.0,29.0,10.0,13.0,0.0,0.0,152.0,104.0,89.0,705.0,188.0,30.0,1.0,16.0,68.0,0.0,5.0,125.0,1.0,5.0,5.27,4.96,1.68,98.3,105.4,1.54,-2.53
266,267.0,구창모,1997-02-17,NC Dinos,2016,39.0,0.0,0.0,9.0,4.0,1.0,0.0,1.0,68.2,32.0,32.0,296.0,61.0,11.0,0.0,9.0,37.0,0.0,2.0,67.0,2.0,9.0,4.19,5.25,1.43,121.4,98.1,1.54,-0.53
267,268.0,홍건희,1992-09-29,Kia Tigers,2016,50.0,0.0,0.0,9.0,4.0,4.0,4.0,5.0,90.1,53.0,50.0,407.0,103.0,17.0,1.0,10.0,41.0,2.0,1.0,83.0,0.0,8.0,4.98,4.72,1.59,104.0,110.8,1.52,-0.67
268,269.0,김진성,1985-03-07,NC Dinos,2016,69.0,0.0,0.0,0.0,6.0,8.0,1.0,14.0,84.1,44.0,42.0,347.0,79.0,11.0,3.0,15.0,16.0,0.0,2.0,100.0,1.0,8.0,4.48,4.37,1.13,113.6,116.9,1.52,-0.58
269,270.0,최영필,1974-05-13,Kia Tigers,2016,54.0,0.0,0.0,3.0,4.0,3.0,2.0,10.0,57.1,26.0,23.0,249.0,74.0,11.0,1.0,6.0,8.0,0.0,3.0,54.0,0.0,5.0,3.61,3.85,1.43,143.4,136.6,1.51,-0.74
270,271.0,임찬규,1992-11-20,LG Twins,2020,27.0,0.0,0.0,26.0,10.0,9.0,0.0,0.0,147.2,76.0,67.0,641.0,143.0,29.0,2.0,14.0,65.0,0.0,5.0,138.0,0.0,4.0,4.08,4.34,1.41,113.3,106.3,1.51,-0.22
271,272.0,임창용,1976-06-04,Kia Tigers,2017,51.0,0.0,0.0,0.0,8.0,6.0,7.0,9.0,50.0,22.0,21.0,225.0,51.0,7.0,1.0,3.0,22.0,2.0,5.0,58.0,0.0,2.0,3.78,3.7,1.46,131.4,135.5,1.51,-1.31
272,273.0,원태인,2000-04-06,Samsung Lions,2020,27.0,0.0,0.0,26.0,6.0,10.0,0.0,0.0,140.0,84.0,76.0,626.0,162.0,32.0,1.0,19.0,56.0,2.0,5.0,78.0,0.0,6.0,4.89,5.47,1.56,100.4,89.4,1.51,-1.23
273,274.0,전유수,1986-11-29,SSG Landers,2015,66.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,77.2,39.0,38.0,337.0,66.0,12.0,1.0,9.0,42.0,5.0,5.0,84.0,0.0,2.0,4.4,4.58,1.39,109.7,105.6,1.5,0.24
274,275.0,정찬헌,1990-01-26,LG Twins,2020,19.0,1.0,1.0,19.0,7.0,4.0,0.0,0.0,110.1,51.0,43.0,470.0,116.0,22.0,1.0,10.0,31.0,0.0,4.0,85.0,0.0,5.0,3.51,4.15,1.33,131.9,111.4,1.5,0.66
275,276.0,장필준,1988-04-08,Samsung Lions,2018,61.0,0.0,0.0,0.0,5.0,5.0,6.0,13.0,66.1,35.0,32.0,290.0,65.0,15.0,1.0,6.0,25.0,2.0,6.0,74.0,0.0,0.0,4.34,4.09,1.36,122.2,127.5,1.49,-0.78
276,277.0,헤일,1987-09-27,Hanwha Eagles,2018,12.0,0.0,0.0,12.0,3.0,4.0,0.0,0.0,66.1,35.0,32.0,277.0,68.0,10.0,0.0,8.0,17.0,0.0,4.0,55.0,0.0,3.0,4.34,4.69,1.28,122.0,113.6,1.48,-0.56
277,278.0,이보근,1986-04-30,Kia Tigers,2020,49.0,0.0,0.0,0.0,3.0,1.0,6.0,9.0,46.2,17.0,13.0,192.0,42.0,5.0,0.0,2.0,12.0,1.0,2.0,27.0,0.0,3.0,2.51,3.79,1.16,191.6,125.8,1.48,0.04
278,279.0,정해영,2001-08-23,Kia Tigers,2020,47.0,0.0,0.0,0.0,5.0,3.0,1.0,11.0,37.2,15.0,14.0,169.0,40.0,5.0,1.0,2.0,24.0,2.0,2.0,32.0,0.0,7.0,3.35,4.46,1.7,143.5,107.5,1.47,-0.66
279,280.0,임기준,1991-10-08,Kia Tigers,2018,55.0,0.0,0.0,0.0,5.0,1.0,2.0,8.0,56.0,27.0,22.0,243.0,59.0,5.0,1.0,7.0,23.0,0.0,3.0,45.0,1.0,3.0,3.54,5.24,1.46,145.2,98.4,1.47,1.04
280,281.0,임정우,1991-04-02,LG Twins,2015,54.0,0.0,0.0,11.0,6.0,9.0,5.0,3.0,109.0,65.0,61.0,501.0,123.0,32.0,2.0,8.0,50.0,4.0,14.0,99.0,1.0,8.0,5.04,4.4,1.59,93.2,107.4,1.46,-1.0
281,282.0,박치국,1998-03-10,Doosan Bears,2020,63.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,71.2,34.0,23.0,317.0,65.0,12.0,2.0,5.0,34.0,4.0,5.0,66.0,0.0,1.0,2.89,4.09,1.38,160.4,113.5,1.46,-0.27
282,283.0,김진성,1985-03-07,NC Dinos,2020,48.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,47.1,16.0,14.0,190.0,41.0,8.0,2.0,4.0,10.0,1.0,0.0,56.0,0.0,2.0,2.66,2.86,1.08,183.5,169.7,1.46,1.13
283,284.0,이현승,1983-10-11,Doosan Bears,2017,57.0,0.0,0.0,0.0,3.0,2.0,5.0,9.0,52.0,23.0,23.0,235.0,62.0,9.0,2.0,4.0,16.0,3.0,4.0,38.0,0.0,0.0,3.98,4.25,1.5,120.9,113.6,1.45,-0.9
284,285.0,최성영,1997-04-28,NC Dinos,2019,26.0,0.0,0.0,15.0,4.0,1.0,0.0,2.0,82.1,39.0,36.0,368.0,79.0,15.0,3.0,3.0,48.0,0.0,4.0,62.0,0.0,3.0,3.94,4.27,1.54,107.1,98.9,1.45,-0.01
285,286.0,차우찬,1987-05-31,LG Twins,2019,29.0,0.0,0.0,28.0,13.0,8.0,0.0,0.0,168.1,87.0,77.0,730.0,181.0,30.0,1.0,16.0,59.0,0.0,5.0,124.0,0.0,13.0,4.12,4.31,1.43,99.7,94.1,1.44,0.19
286,287.0,휠러,1990-10-27,Hanwha Eagles,2018,19.0,0.0,0.0,19.0,3.0,9.0,0.0,0.0,101.2,62.0,58.0,459.0,128.0,16.0,0.0,12.0,34.0,1.0,10.0,94.0,1.0,2.0,5.13,4.79,1.59,103.2,111.5,1.43,-1.07
287,288.0,양창섭,1999-09-22,Samsung Lions,2018,19.0,0.0,0.0,17.0,7.0,6.0,0.0,0.0,87.1,52.0,49.0,400.0,100.0,22.0,0.0,12.0,34.0,0.0,10.0,49.0,1.0,3.0,5.05,6.01,1.53,105.0,87.4,1.42,-0.72
288,289.0,손승락,1982-03-04,Lotte Giants,2016,48.0,0.0,0.0,0.0,7.0,3.0,20.0,0.0,50.2,25.0,24.0,232.0,61.0,6.0,1.0,5.0,24.0,4.0,3.0,48.0,1.0,5.0,4.26,4.54,1.68,122.6,114.9,1.42,0.8
289,290.0,김상수,1988-01-02,Nexen Heroes,2016,67.0,0.0,0.0,0.0,6.0,5.0,0.0,21.0,74.0,40.0,38.0,331.0,77.0,14.0,4.0,6.0,34.0,2.0,1.0,76.0,0.0,2.0,4.62,4.13,1.5,113.6,125.7,1.42,-0.94
290,291.0,장시환,1987-11-01,Hanwha Eagles,2020,26.0,0.0,0.0,26.0,4.0,14.0,0.0,0.0,132.2,81.0,74.0,603.0,139.0,27.0,1.0,15.0,74.0,0.0,8.0,115.0,0.0,10.0,5.02,5.15,1.61,94.2,93.1,1.4,-1.62
291,292.0,김성민,1994-04-26,Kiwoom Heroes,2019,50.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,56.1,17.0,16.0,230.0,53.0,13.0,1.0,0.0,11.0,0.0,2.0,38.0,0.0,4.0,2.56,2.75,1.14,161.9,152.3,1.4,1.03
292,293.0,우규민,1985-01-21,Samsung Lions,2018,48.0,0.0,0.0,0.0,4.0,1.0,0.0,10.0,58.2,28.0,28.0,246.0,70.0,12.0,0.0,6.0,12.0,1.0,5.0,48.0,0.0,0.0,4.3,4.34,1.4,123.5,120.6,1.39,-0.22
293,294.0,홍성민,1989-07-15,NC Dinos,2020,30.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,26.0,4.0,3.0,104.0,20.0,4.0,0.0,2.0,6.0,1.0,2.0,14.0,0.0,2.0,1.04,4.29,1.0,470.5,112.6,1.39,1.38
294,295.0,박진형,1994-06-10,Lotte Giants,2017,45.0,0.0,0.0,9.0,4.0,4.0,2.0,10.0,88.0,51.0,50.0,391.0,88.0,19.0,0.0,8.0,47.0,2.0,4.0,95.0,2.0,6.0,5.11,4.43,1.53,98.5,113.5,1.39,0.34
295,296.0,안우진,1999-08-30,Kiwoom Heroes,2020,42.0,0.0,0.0,0.0,2.0,3.0,2.0,13.0,36.0,12.0,12.0,143.0,20.0,2.0,0.0,3.0,17.0,1.0,0.0,41.0,0.0,2.0,3.0,3.69,1.03,157.3,124.9,1.38,-0.8
296,297.0,김재윤,1990-09-16,Kia Tigers,2018,62.0,0.0,0.0,0.0,7.0,5.0,15.0,0.0,61.0,34.0,31.0,271.0,76.0,10.0,1.0,11.0,15.0,4.0,1.0,66.0,0.0,3.0,4.57,4.6,1.49,115.9,113.2,1.38,-0.37
297,298.0,맥그레거,1986-12-19,Nexen Heroes,2016,14.0,0.0,0.0,14.0,6.0,3.0,0.0,0.0,90.0,56.0,52.0,385.0,108.0,17.0,0.0,13.0,20.0,0.0,2.0,61.0,1.0,3.0,5.2,5.05,1.42,101.0,102.5,1.36,-0.89
298,299.0,함덕주,1995-01-13,Doosan Bears,2015,68.0,0.0,0.0,0.0,7.0,2.0,2.0,16.0,61.2,30.0,25.0,278.0,52.0,10.0,1.0,4.0,46.0,1.0,2.0,76.0,1.0,2.0,3.65,4.28,1.59,128.5,111.0,1.35,3.07
299,300.0,진해수,1986-06-26,LG Twins,2017,75.0,0.0,0.0,0.0,3.0,3.0,1.0,24.0,52.2,23.0,23.0,221.0,52.0,11.0,2.0,6.0,15.0,2.0,2.0,48.0,0.0,1.0,3.93,4.25,1.27,123.2,112.9,1.35,0.05
300,301.0,이용찬,1989-01-02,Doosan Bears,2019,26.0,0.0,0.0,26.0,7.0,10.0,0.0,0.0,148.1,75.0,67.0,651.0,168.0,28.0,2.0,15.0,45.0,3.0,6.0,102.0,0.0,3.0,4.07,4.31,1.44,101.0,93.9,1.35,0.09
301,302.0,최금강,1989-04-26,NC Dinos,2016,52.0,0.0,0.0,11.0,11.0,4.0,2.0,4.0,108.0,65.0,60.0,486.0,123.0,23.0,2.0,13.0,36.0,0.0,8.0,84.0,2.0,6.0,5.0,5.02,1.47,101.8,102.6,1.34,-0.57
302,303.0,임기영,1993-04-16,Kia Tigers,2020,25.0,0.0,0.0,25.0,9.0,10.0,0.0,0.0,127.2,80.0,73.0,559.0,152.0,26.0,3.0,12.0,33.0,0.0,9.0,106.0,1.0,3.0,5.15,4.1,1.45,93.3,117.1,1.34,-1.25
303,304.0,임찬규,1992-11-20,LG Twins,2017,27.0,0.0,0.0,26.0,6.0,10.0,0.0,0.0,124.1,70.0,64.0,560.0,133.0,28.0,0.0,12.0,45.0,1.0,24.0,113.0,0.0,8.0,4.63,4.81,1.43,104.6,100.5,1.34,-0.75
304,305.0,함덕주,1995-01-13,Doosan Bears,2020,36.0,0.0,0.0,6.0,5.0,1.0,10.0,2.0,55.1,25.0,24.0,240.0,55.0,7.0,0.0,2.0,21.0,2.0,0.0,55.0,0.0,7.0,3.9,3.07,1.37,118.7,152.5,1.34,-0.39
305,306.0,김진영,1992-04-16,Hanwha Eagles,2020,58.0,0.0,0.0,0.0,3.0,3.0,0.0,8.0,54.0,26.0,20.0,231.0,48.0,4.0,0.0,6.0,22.0,0.0,3.0,56.0,0.0,5.0,3.33,4.32,1.3,141.8,110.9,1.33,-0.11
306,307.0,이영하,1997-11-01,Doosan Bears,2018,40.0,0.0,0.0,17.0,10.0,3.0,0.0,2.0,122.2,75.0,72.0,555.0,140.0,28.0,5.0,15.0,54.0,1.0,9.0,90.0,0.0,8.0,5.28,5.47,1.58,95.7,92.1,1.32,-1.25
307,308.0,장필준,1988-04-08,Samsung Lions,2017,56.0,0.0,0.0,0.0,4.0,8.0,21.0,3.0,67.1,37.0,35.0,307.0,82.0,9.0,2.0,6.0,26.0,3.0,4.0,82.0,0.0,3.0,4.68,3.66,1.6,108.4,137.0,1.3,-1.67
308,309.0,김주한,1993-02-03,SSG Landers,2016,39.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,59.1,28.0,28.0,254.0,62.0,11.0,1.0,6.0,14.0,0.0,4.0,50.0,1.0,3.0,4.25,4.33,1.28,122.9,120.8,1.3,0.12
309,310.0,서폴드,1990-01-16,Hanwha Eagles,2020,28.0,1.0,1.0,28.0,10.0,13.0,0.0,0.0,165.0,107.0,90.0,734.0,203.0,30.0,3.0,19.0,42.0,0.0,13.0,97.0,0.0,10.0,4.91,4.88,1.49,96.3,98.2,1.3,-1.5
310,311.0,최원준,1994-12-21,Doosan Bears,2019,34.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,54.1,17.0,16.0,228.0,52.0,12.0,1.0,1.0,16.0,1.0,4.0,38.0,0.0,1.0,2.65,3.29,1.25,154.9,125.5,1.29,-0.23
311,312.0,윤영삼,1992-07-14,Kiwoom Heroes,2019,54.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,62.2,23.0,20.0,254.0,60.0,12.0,2.0,5.0,14.0,1.0,1.0,56.0,0.0,3.0,2.87,3.32,1.18,144.1,123.5,1.29,-0.41
312,313.0,최동환,1989-09-19,LG Twins,2020,54.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,57.0,23.0,22.0,228.0,54.0,10.0,1.0,6.0,12.0,0.0,2.0,42.0,0.0,3.0,3.47,4.19,1.16,133.2,109.8,1.28,-0.04
313,314.0,윤명준,1989-06-18,Doosan Bears,2015,60.0,0.0,0.0,0.0,4.0,6.0,6.0,7.0,68.0,33.0,30.0,302.0,72.0,8.0,2.0,9.0,30.0,3.0,5.0,48.0,0.0,3.0,3.97,5.34,1.5,118.1,86.8,1.28,-2.12
314,315.0,서진용,1992-10-02,SSG Landers,2017,42.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,46.0,21.0,20.0,198.0,43.0,9.0,0.0,4.0,23.0,0.0,0.0,55.0,0.0,3.0,3.91,3.97,1.44,128.6,127.1,1.26,-2.05
315,316.0,박민호,1992-02-25,SSG Landers,2019,47.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,50.1,17.0,15.0,209.0,49.0,10.0,0.0,2.0,14.0,0.0,4.0,22.0,0.0,0.0,2.68,4.12,1.25,158.7,102.7,1.26,-0.28
316,317.0,밴와트,1986-02-14,SSG Landers,2015,12.0,0.0,0.0,12.0,5.0,3.0,0.0,0.0,56.1,29.0,29.0,245.0,70.0,15.0,1.0,5.0,13.0,0.0,2.0,50.0,1.0,2.0,4.63,3.79,1.47,104.2,127.6,1.23,-0.32
