,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA
317,318.0,정우람,1985-06-01,Hanwha Eagles,2020,50.0,0.0,0.0,0.0,3.0,5.0,16.0,0.0,54.1,29.0,29.0,230.0,58.0,11.0,1.0,4.0,12.0,1.0,5.0,53.0,0.0,2.0,4.8,3.45,1.29,98.4,138.6,1.23,1.02
318,319.0,이용찬,1989-01-02,Doosan Bears,2017,68.0,0.0,0.0,0.0,5.0,5.0,22.0,2.0,71.2,38.0,35.0,324.0,83.0,16.0,1.0,5.0,27.0,1.0,4.0,57.0,0.0,3.0,4.4,4.31,1.54,109.5,112.6,1.23,1.72
319,320.0,원종현,1987-07-31,NC Dinos,2017,68.0,0.0,0.0,0.0,3.0,6.0,0.0,22.0,80.0,44.0,39.0,346.0,86.0,11.0,2.0,4.0,19.0,1.0,7.0,69.0,0.0,5.0,4.39,3.6,1.31,113.0,138.3,1.22,-0.02
320,321.0,세든,1983-10-13,SSG Landers,2015,14.0,1.0,1.0,14.0,7.0,5.0,0.0,0.0,74.0,42.0,41.0,319.0,77.0,15.0,0.0,12.0,28.0,0.0,5.0,67.0,0.0,7.0,4.99,5.25,1.42,96.9,92.6,1.22,-0.03
321,322.0,김승회,1981-02-11,Doosan Bears,2018,55.0,0.0,0.0,0.0,3.0,4.0,3.0,11.0,54.2,26.0,21.0,242.0,54.0,11.0,0.0,6.0,23.0,1.0,5.0,34.0,0.0,3.0,3.46,5.5,1.41,146.2,91.9,1.21,-0.58
322,323.0,이형범,1994-02-27,Doosan Bears,2019,67.0,0.0,0.0,0.0,6.0,3.0,19.0,10.0,61.0,25.0,18.0,258.0,57.0,6.0,0.0,4.0,19.0,2.0,9.0,31.0,0.0,2.0,2.66,4.52,1.25,154.6,90.5,1.21,1.23
323,324.0,송창식,1985-03-25,Hanwha Eagles,2016,66.0,0.0,0.0,1.0,8.0,5.0,0.0,8.0,97.2,61.0,54.0,437.0,97.0,11.0,2.0,10.0,45.0,0.0,10.0,77.0,0.0,7.0,4.98,5.24,1.45,105.5,100.1,1.21,0.48
324,325.0,윤명준,1989-06-18,Doosan Bears,2016,55.0,0.0,0.0,0.0,4.0,0.0,2.0,11.0,57.0,25.0,25.0,239.0,51.0,12.0,3.0,5.0,17.0,1.0,3.0,39.0,0.0,4.0,3.95,4.56,1.19,129.5,110.3,1.21,0.38
325,326.0,안영명,1984-11-19,Hanwha Eagles,2019,67.0,0.0,0.0,0.0,4.0,7.0,0.0,13.0,62.0,27.0,27.0,273.0,82.0,14.0,1.0,5.0,13.0,0.0,3.0,48.0,1.0,2.0,3.92,3.68,1.53,105.7,112.8,1.2,-1.91
326,327.0,권오준,1980-03-09,Samsung Lions,2016,41.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,46.1,20.0,20.0,194.0,48.0,5.0,2.0,9.0,11.0,0.0,3.0,35.0,0.0,1.0,3.88,5.71,1.27,135.7,91.5,1.2,-0.48
327,328.0,양현,1992-08-23,Kiwoom Heroes,2019,29.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,40.2,10.0,9.0,159.0,31.0,5.0,1.0,1.0,11.0,0.0,1.0,25.0,0.0,0.0,1.99,3.38,1.03,207.8,123.0,1.2,0.55
328,329.0,엄상백,1996-10-04,KT Wiz,2017,52.0,0.0,0.0,0.0,1.0,3.0,0.0,8.0,52.0,28.0,24.0,229.0,48.0,8.0,0.0,3.0,22.0,1.0,4.0,39.0,0.0,1.0,4.15,4.43,1.35,122.0,112.7,1.19,-0.5
329,330.0,고영창,1989-02-24,Kia Tigers,2019,55.0,0.0,0.0,0.0,1.0,3.0,1.0,10.0,54.0,22.0,21.0,243.0,63.0,8.0,3.0,2.0,14.0,2.0,8.0,22.0,0.0,2.0,3.5,4.18,1.43,119.8,100.2,1.19,-0.93
330,331.0,이태양,1993-01-28,NC Dinos,2016,10.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,47.0,22.0,22.0,209.0,44.0,7.0,1.0,7.0,26.0,1.0,8.0,27.0,0.0,0.0,4.21,6.69,1.49,120.8,77.3,1.19,-0.23
331,332.0,진명호,1989-03-20,Lotte Giants,2018,60.0,0.0,0.0,0.0,5.0,4.0,1.0,9.0,61.2,34.0,30.0,282.0,53.0,19.0,0.0,7.0,46.0,6.0,1.0,65.0,0.0,3.0,4.38,5.2,1.61,119.1,100.7,1.19,-0.14
332,333.0,장시환,1987-11-01,Lotte Giants,2019,27.0,0.0,0.0,27.0,6.0,13.0,0.0,0.0,125.1,78.0,69.0,570.0,147.0,29.0,1.0,12.0,58.0,1.0,2.0,109.0,0.0,17.0,4.95,4.32,1.64,84.6,97.2,1.18,-0.61
333,334.0,심창민,1993-02-01,Samsung Lions,2015,61.0,0.0,0.0,0.0,6.0,3.0,0.0,9.0,67.1,32.0,32.0,280.0,54.0,13.0,0.0,7.0,24.0,1.0,5.0,91.0,0.0,2.0,4.28,3.51,1.16,115.4,139.8,1.17,0.05
334,335.0,정영일,1988-11-16,SSG Landers,2019,44.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,42.0,15.0,15.0,175.0,32.0,3.0,1.0,1.0,22.0,2.0,1.0,35.0,0.0,2.0,3.21,3.55,1.29,132.4,118.9,1.17,0.44
335,336.0,보우덴,1986-09-09,Doosan Bears,2017,17.0,0.0,0.0,17.0,3.0,5.0,0.0,0.0,87.1,47.0,45.0,389.0,90.0,14.0,1.0,15.0,38.0,0.0,6.0,51.0,1.0,6.0,4.64,6.31,1.47,103.8,75.6,1.17,-1.07
336,337.0,박종훈,1991-08-13,SSG Landers,2015,33.0,0.0,0.0,23.0,6.0,8.0,0.0,0.0,118.0,74.0,68.0,530.0,123.0,27.0,0.0,7.0,53.0,1.0,17.0,105.0,0.0,5.0,5.19,4.36,1.49,93.1,110.4,1.17,-1.17
337,338.0,정찬헌,1990-01-26,LG Twins,2018,66.0,0.0,0.0,0.0,5.0,3.0,27.0,0.0,65.0,36.0,35.0,299.0,76.0,14.0,0.0,5.0,24.0,3.0,7.0,50.0,0.0,2.0,4.85,4.59,1.54,104.1,110.3,1.16,-1.7
338,339.0,이승현,1991-11-20,Samsung Lions,2019,34.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,37.0,11.0,8.0,147.0,28.0,3.0,0.0,2.0,11.0,0.0,1.0,31.0,0.0,2.0,1.95,3.4,1.05,223.0,124.8,1.16,0.36
339,340.0,마정길,1979-03-13,Nexen Heroes,2016,61.0,0.0,0.0,0.0,6.0,1.0,0.0,12.0,63.2,33.0,29.0,282.0,61.0,16.0,2.0,10.0,34.0,0.0,4.0,52.0,0.0,1.0,4.1,5.99,1.49,128.1,86.4,1.16,-0.35
340,341.0,유원상,1986-06-17,Kia Tigers,2020,62.0,0.0,0.0,0.0,2.0,1.0,2.0,9.0,64.0,32.0,27.0,271.0,52.0,12.0,0.0,8.0,28.0,1.0,1.0,37.0,0.0,5.0,3.8,5.34,1.25,126.5,89.0,1.16,0.01
341,342.0,김대우,1984-07-26,Lotte Giants,2020,46.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,49.1,22.0,17.0,216.0,48.0,11.0,0.0,1.0,26.0,1.0,2.0,43.0,1.0,5.0,3.1,3.72,1.5,157.1,128.4,1.15,-0.94
342,343.0,장민재,1990-03-19,Hanwha Eagles,2018,34.0,0.0,0.0,3.0,6.0,2.0,0.0,1.0,59.2,33.0,31.0,266.0,62.0,14.0,2.0,7.0,23.0,0.0,1.0,42.0,0.0,1.0,4.68,5.16,1.43,113.3,103.2,1.15,-0.44
343,344.0,이승호,1999-02-08,Kiwoom Heroes,2020,24.0,0.0,0.0,23.0,6.0,6.0,0.0,0.0,118.2,71.0,67.0,517.0,132.0,20.0,1.0,15.0,40.0,0.0,5.0,73.0,1.0,3.0,5.08,5.11,1.45,92.9,90.8,1.14,0.23
344,345.0,유먼,1979-10-11,Hanwha Eagles,2015,17.0,0.0,0.0,17.0,4.0,6.0,0.0,0.0,91.2,52.0,46.0,406.0,96.0,16.0,0.0,9.0,38.0,1.0,4.0,56.0,1.0,3.0,4.52,5.01,1.46,110.3,98.3,1.13,-0.26
345,346.0,배영수,1981-05-04,Hanwha Eagles,2017,25.0,1.0,0.0,25.0,7.0,8.0,0.0,0.0,128.0,82.0,72.0,575.0,155.0,29.0,2.0,17.0,29.0,0.0,13.0,86.0,2.0,2.0,5.06,5.1,1.44,99.3,99.2,1.13,-1.32
346,347.0,배장호,1987-06-25,Lotte Giants,2017,72.0,0.0,0.0,0.0,8.0,1.0,0.0,6.0,66.1,36.0,32.0,287.0,70.0,17.0,1.0,9.0,19.0,5.0,8.0,47.0,0.0,2.0,4.34,5.08,1.34,116.0,99.1,1.12,-0.94
347,348.0,심재민,1994-02-18,KT Wiz,2017,64.0,0.0,0.0,2.0,1.0,7.0,0.0,13.0,74.2,48.0,43.0,344.0,86.0,12.0,1.0,11.0,31.0,2.0,4.0,69.0,1.0,4.0,5.18,5.13,1.57,97.8,97.5,1.1,-3.39
348,349.0,라이블리,1992-03-05,Samsung Lions,2019,9.0,1.0,1.0,9.0,4.0,4.0,0.0,0.0,57.0,26.0,25.0,236.0,51.0,9.0,4.0,4.0,13.0,0.0,5.0,58.0,0.0,0.0,3.95,3.23,1.12,109.9,132.1,1.1,0.25
349,350.0,정대현,1991-07-19,KT Wiz,2015,30.0,0.0,0.0,26.0,5.0,11.0,0.0,0.0,118.0,80.0,68.0,542.0,138.0,26.0,1.0,19.0,62.0,0.0,4.0,82.0,0.0,6.0,5.19,6.0,1.7,96.9,81.4,1.1,-2.48
350,351.0,윌슨,1989-09-25,LG Twins,2020,25.0,0.0,0.0,25.0,10.0,8.0,0.0,0.0,144.2,81.0,71.0,628.0,161.0,23.0,2.0,13.0,39.0,0.0,8.0,109.0,1.0,3.0,4.42,4.19,1.38,104.8,110.2,1.1,-0.67
351,352.0,오주원,1985-03-31,Nexen Heroes,2016,55.0,0.0,0.0,0.0,3.0,2.0,2.0,7.0,51.0,25.0,25.0,220.0,50.0,7.0,1.0,3.0,17.0,0.0,4.0,40.0,0.0,0.0,4.41,4.22,1.31,119.0,122.9,1.09,0.31
352,353.0,원종현,1987-07-31,NC Dinos,2020,58.0,0.0,0.0,0.0,3.0,5.0,30.0,0.0,57.0,30.0,27.0,245.0,56.0,5.0,1.0,4.0,20.0,1.0,2.0,41.0,0.0,4.0,4.26,4.13,1.33,114.6,116.7,1.09,0.6
353,354.0,서진용,1992-10-02,SSG Landers,2020,63.0,0.0,0.0,0.0,2.0,7.0,8.0,12.0,61.0,33.0,28.0,264.0,52.0,4.0,1.0,11.0,34.0,1.0,1.0,56.0,0.0,7.0,4.13,5.74,1.41,116.8,85.4,1.09,-1.57
354,355.0,김유영,1994-05-02,Lotte Giants,2017,40.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,48.2,24.0,24.0,217.0,52.0,8.0,0.0,5.0,25.0,2.0,3.0,41.0,0.0,7.0,4.44,4.99,1.58,113.5,100.7,1.09,-0.45
355,356.0,한현희,1993-06-25,Kiwoom Heroes,2020,25.0,0.0,0.0,25.0,7.0,9.0,0.0,0.0,135.2,77.0,75.0,587.0,141.0,20.0,1.0,10.0,37.0,2.0,14.0,109.0,2.0,3.0,4.98,3.99,1.31,94.8,116.8,1.09,0.38
356,357.0,김재영,1993-07-22,Hanwha Eagles,2017,20.0,0.0,0.0,15.0,5.0,7.0,0.0,0.0,85.1,51.0,43.0,370.0,101.0,16.0,0.0,9.0,19.0,0.0,12.0,51.0,0.0,3.0,4.54,5.0,1.41,110.9,101.0,1.08,-1.29
357,358.0,장시환,1987-11-01,Lotte Giants,2017,53.0,0.0,0.0,0.0,4.0,4.0,0.0,10.0,51.1,28.0,25.0,228.0,48.0,9.0,0.0,6.0,31.0,3.0,4.0,57.0,0.0,8.0,4.38,4.9,1.54,115.1,102.5,1.07,-1.15
358,359.0,신재웅,1982-03-28,SSG Landers,2017,32.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,31.0,11.0,11.0,126.0,23.0,6.0,1.0,3.0,15.0,0.0,0.0,29.0,0.0,1.0,3.19,4.57,1.23,157.6,110.4,1.07,0.36
359,360.0,이보근,1986-04-30,Nexen Heroes,2016,67.0,0.0,0.0,0.0,5.0,7.0,0.0,25.0,64.2,36.0,32.0,290.0,69.0,13.0,3.0,3.0,27.0,1.0,6.0,56.0,0.0,5.0,4.45,4.15,1.49,117.9,125.2,1.06,-0.33
360,361.0,마리몬,1988-09-30,KT Wiz,2016,12.0,0.0,0.0,12.0,6.0,4.0,0.0,0.0,62.0,38.0,36.0,275.0,60.0,13.0,2.0,3.0,29.0,0.0,6.0,45.0,0.0,8.0,5.23,4.66,1.44,100.0,112.0,1.06,-0.47
361,362.0,권오준,1980-03-09,Samsung Lions,2018,47.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,43.1,21.0,19.0,189.0,43.0,7.0,0.0,7.0,12.0,0.0,3.0,52.0,0.0,2.0,3.95,4.57,1.27,134.4,115.0,1.06,-0.11
362,363.0,박시영,1989-03-10,Lotte Giants,2019,43.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,61.2,30.0,29.0,262.0,51.0,10.0,1.0,5.0,27.0,0.0,4.0,60.0,0.0,7.0,4.23,4.02,1.27,99.1,104.3,1.05,0.73
363,364.0,임현준,1988-12-21,Samsung Lions,2020,51.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,25.1,7.0,5.0,109.0,24.0,3.0,0.0,2.0,7.0,1.0,6.0,18.0,0.0,1.0,1.78,4.58,1.22,276.1,106.2,1.05,0.42
364,365.0,김태훈,1990-05-19,SSG Landers,2019,71.0,0.0,0.0,0.0,4.0,5.0,7.0,27.0,69.2,33.0,31.0,296.0,62.0,8.0,0.0,4.0,26.0,0.0,4.0,76.0,0.0,7.0,4.0,3.26,1.26,106.3,130.9,1.05,0.42
365,366.0,오현택,1985-07-17,Lotte Giants,2020,48.0,0.0,0.0,0.0,3.0,1.0,0.0,7.0,36.0,15.0,15.0,152.0,37.0,6.0,1.0,5.0,8.0,1.0,2.0,17.0,0.0,1.0,3.75,5.17,1.25,129.9,92.9,1.04,0.1
366,367.0,김강률,1988-08-28,Doosan Bears,2018,65.0,0.0,0.0,0.0,5.0,0.0,6.0,11.0,76.0,42.0,39.0,317.0,72.0,10.0,0.0,7.0,24.0,1.0,3.0,81.0,0.0,6.0,4.62,3.93,1.26,109.4,128.3,1.04,1.51
367,368.0,이동현,1983-01-12,LG Twins,2015,60.0,0.0,0.0,0.0,5.0,5.0,4.0,11.0,59.1,33.0,29.0,258.0,65.0,13.0,0.0,4.0,20.0,5.0,2.0,55.0,0.0,7.0,4.4,3.5,1.43,106.7,134.8,1.04,-0.27
368,369.0,홍성용,1986-11-18,KT Wiz,2015,42.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,39.2,19.0,17.0,174.0,39.0,9.0,1.0,3.0,13.0,2.0,6.0,31.0,0.0,1.0,3.86,4.32,1.31,129.9,114.0,1.04,-0.02
369,370.0,박근홍,1985-08-22,Samsung Lions,2015,66.0,0.0,0.0,0.0,2.0,2.0,0.0,8.0,48.2,20.0,16.0,212.0,39.0,8.0,0.0,3.0,24.0,0.0,6.0,55.0,0.0,5.0,2.96,4.01,1.3,166.9,123.0,1.03,-0.96
370,371.0,김재영,1993-07-22,Hanwha Eagles,2018,29.0,0.0,0.0,21.0,6.0,4.0,0.0,1.0,111.1,74.0,70.0,503.0,136.0,32.0,1.0,15.0,37.0,0.0,12.0,56.0,0.0,4.0,5.66,5.9,1.55,93.6,90.1,1.03,-1.08
371,372.0,최지광,1998-03-13,Samsung Lions,2019,63.0,0.0,0.0,0.0,3.0,8.0,2.0,10.0,68.0,33.0,31.0,303.0,64.0,9.0,3.0,4.0,40.0,3.0,5.0,60.0,0.0,3.0,4.1,4.26,1.53,105.8,99.5,1.03,-0.71
372,373.0,이건욱,1995-02-13,SSG Landers,2020,27.0,0.0,0.0,25.0,6.0,12.0,0.0,0.0,122.0,77.0,77.0,542.0,105.0,16.0,4.0,11.0,81.0,0.0,6.0,91.0,1.0,6.0,5.68,5.38,1.53,84.9,90.3,1.03,-1.61
373,374.0,이민호,1993-08-11,NC Dinos,2016,45.0,0.0,0.0,21.0,9.0,9.0,2.0,3.0,130.2,90.0,80.0,603.0,159.0,29.0,3.0,18.0,55.0,0.0,6.0,102.0,0.0,10.0,5.51,5.42,1.64,92.4,95.1,1.03,-1.25
374,375.0,오주원,1985-03-31,Nexen Heroes,2017,57.0,0.0,0.0,3.0,2.0,7.0,1.0,18.0,73.2,44.0,39.0,329.0,96.0,22.0,1.0,10.0,15.0,1.0,2.0,56.0,0.0,6.0,4.76,4.63,1.51,104.4,105.2,1.03,-0.11
375,376.0,김재윤,1990-09-16,KT Wiz,2015,42.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,44.2,23.0,21.0,188.0,46.0,9.0,0.0,3.0,12.0,2.0,1.0,70.0,0.0,1.0,4.23,2.09,1.3,118.8,240.5,1.02,-0.84
376,377.0,김재윤,1990-09-16,KT Wiz,2016,52.0,0.0,0.0,0.0,8.0,1.0,14.0,1.0,54.1,31.0,30.0,235.0,61.0,13.0,0.0,6.0,15.0,0.0,1.0,73.0,0.0,3.0,4.97,3.42,1.4,105.2,154.1,1.02,1.22
377,378.0,심수창,1981-02-09,Hanwha Eagles,2017,48.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,57.0,32.0,30.0,260.0,71.0,13.0,3.0,8.0,22.0,1.0,2.0,54.0,0.0,4.0,4.74,4.88,1.63,106.2,104.0,1.02,-1.86
378,379.0,양현,1992-08-23,Nexen Heroes,2018,33.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,32.2,13.0,13.0,132.0,31.0,3.0,0.0,4.0,13.0,0.0,1.0,20.0,0.0,0.0,3.58,5.49,1.35,143.9,93.3,1.01,-0.81
379,380.0,박민석,1989-07-04,NC Dinos,2016,21.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,21.2,4.0,4.0,90.0,10.0,2.0,0.0,2.0,11.0,0.0,6.0,27.0,0.0,2.0,1.66,4.85,0.97,306.4,105.6,1.01,0.24
380,381.0,정수민,1990-04-01,SSG Landers,2020,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,15.2,2.0,2.0,61.0,11.0,4.0,0.0,0.0,5.0,0.0,0.0,11.0,0.0,0.0,1.15,3.11,1.02,419.8,154.1,1.01,0.56
381,382.0,김승회,1981-02-11,Doosan Bears,2019,55.0,0.0,0.0,0.0,3.0,3.0,3.0,7.0,58.2,24.0,20.0,250.0,57.0,12.0,3.0,1.0,16.0,1.0,2.0,46.0,0.0,5.0,3.07,2.93,1.24,133.8,141.4,1.0,0.3
382,383.0,김단우,1997-03-08,LG Twins,2019,41.0,0.0,0.0,2.0,5.0,4.0,0.0,8.0,65.2,31.0,28.0,282.0,63.0,11.0,1.0,2.0,27.0,1.0,4.0,39.0,0.0,3.0,3.84,3.98,1.37,107.0,103.4,0.99,1.36
383,384.0,임정호,1990-04-16,NC Dinos,2015,80.0,0.0,0.0,0.0,1.0,2.0,0.0,14.0,48.0,21.0,20.0,200.0,31.0,3.0,0.0,2.0,27.0,1.0,5.0,54.0,0.0,3.0,3.75,3.85,1.21,127.8,127.0,0.99,0.2
384,385.0,장필준,1988-04-08,Samsung Lions,2016,56.0,0.0,0.0,1.0,4.0,6.0,4.0,9.0,72.0,42.0,41.0,317.0,82.0,8.0,2.0,9.0,26.0,0.0,5.0,57.0,0.0,4.0,5.13,5.13,1.5,102.9,101.8,0.99,-1.87
385,386.0,하영민,1995-05-07,Nexen Heroes,2017,28.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,45.1,24.0,24.0,206.0,49.0,11.0,1.0,5.0,30.0,2.0,1.0,23.0,0.0,4.0,4.76,6.07,1.74,104.4,81.1,0.98,-0.21
386,387.0,정성곤,1996-07-10,Kia Tigers,2018,24.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,24.1,8.0,8.0,104.0,23.0,1.0,0.0,3.0,11.0,0.0,0.0,23.0,0.0,0.0,2.96,4.9,1.4,179.1,106.2,0.98,-0.01
387,388.0,박세웅,1995-11-30,Lotte Giants,2019,12.0,0.0,0.0,12.0,3.0,6.0,0.0,0.0,60.0,33.0,28.0,263.0,66.0,12.0,3.0,3.0,23.0,0.0,0.0,44.0,0.0,4.0,4.2,3.74,1.48,99.8,112.2,0.98,-0.45
388,389.0,이인복,1991-06-18,Lotte Giants,2020,47.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,45.1,22.0,20.0,199.0,57.0,9.0,0.0,2.0,12.0,1.0,1.0,21.0,0.0,2.0,3.97,4.0,1.52,122.7,119.7,0.97,-1.01
389,390.0,김상수,1988-01-02,Nexen Heroes,2018,58.0,0.0,0.0,0.0,2.0,3.0,18.0,14.0,55.2,32.0,32.0,239.0,53.0,10.0,0.0,9.0,23.0,2.0,1.0,68.0,0.0,6.0,5.17,4.68,1.37,99.6,108.5,0.97,-0.39
390,391.0,문경찬,1992-07-08,Kia Tigers,2018,32.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,55.1,29.0,29.0,240.0,62.0,13.0,0.0,10.0,17.0,2.0,2.0,46.0,1.0,3.0,4.72,5.44,1.43,108.8,94.8,0.96,-1.16
391,392.0,박세웅,1995-11-30,Lotte Giants,2016,27.0,0.0,0.0,27.0,7.0,12.0,0.0,0.0,139.0,97.0,89.0,627.0,160.0,31.0,3.0,17.0,62.0,0.0,6.0,133.0,0.0,9.0,5.76,4.94,1.6,90.7,105.7,0.95,-1.83
392,393.0,김선규,1986-04-20,LG Twins,2015,31.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,31.2,12.0,11.0,136.0,34.0,4.0,1.0,5.0,10.0,2.0,2.0,19.0,0.0,1.0,3.13,5.42,1.39,150.1,84.9,0.95,-0.71
393,394.0,홍상삼,1990-02-13,Kia Tigers,2020,57.0,0.0,0.0,0.0,4.0,5.0,0.0,17.0,48.0,27.0,27.0,229.0,32.0,11.0,0.0,5.0,54.0,0.0,3.0,61.0,0.0,8.0,5.06,5.93,1.79,94.8,81.3,0.95,-0.55
394,395.0,장현식,1995-02-24,NC Dinos,2017,31.0,0.0,0.0,22.0,9.0,9.0,0.0,0.0,134.1,86.0,79.0,600.0,139.0,28.0,0.0,18.0,66.0,0.0,5.0,120.0,0.0,15.0,5.29,5.28,1.53,93.7,94.9,0.94,-1.06
395,396.0,해커,1983-03-26,Nexen Heroes,2018,14.0,0.0,0.0,13.0,5.0,3.0,0.0,0.0,79.2,49.0,46.0,349.0,86.0,16.0,0.0,16.0,30.0,0.0,5.0,56.0,1.0,2.0,5.2,6.36,1.46,99.2,80.0,0.94,-0.9
396,397.0,홍건희,1992-09-29,Doosan Bears,2020,60.0,0.0,0.0,0.0,3.0,4.0,1.0,8.0,68.2,39.0,38.0,299.0,74.0,14.0,3.0,8.0,22.0,0.0,5.0,60.0,0.0,3.0,4.98,4.5,1.4,93.6,102.8,0.93,-1.1
397,398.0,봉중근,1980-07-15,LG Twins,2015,47.0,0.0,0.0,2.0,5.0,2.0,15.0,0.0,49.1,28.0,27.0,223.0,60.0,6.0,0.0,10.0,23.0,4.0,6.0,39.0,0.0,3.0,4.93,6.19,1.68,95.3,73.8,0.92,-0.83
