,출연자,제목,회차,조회수,좋아요수,댓글수,재생시간(초),구독자수,term,시청률,직업,성별,나이,수상여부,인지도
0,나영석,[선공개] 유퀴즈에 포위된 나영석 PD! 형이 왜 거기서 나와..?,40,881349,6186,224,314,0,1290,2.6,서비스,M,중년,Y,Y
1,이명진,드라마를 위해 조셉과 거래(?) 하는 이명진PD님 | ,40,173,1,1,109,0,1290,2.6,서비스,M,청년,N,N
2,김부연,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,41,593,4,1,394,0,1290,2.7,기타,F,중년,N,N
3,김유자,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,41,593,4,1,394,0,1290,2.7,기타,F,청년,N,N
4,김만순,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,41,593,4,1,394,0,1290,2.7,기타,F,노년,N,N
5,전정자,[#유퀴즈] 41화 레전드! ′X줄(?) 타는 스카이워크′부터 ′돌아온 의자 브레이커′까지!,41,593,4,1,394,0,1290,2.7,기타,F,중년,N,N
6,강충구,춘천 술 박사님의 알코올 철학에 팩폭 날리는 여사님 | ,41,285,4,1,181,0,1290,2.7,기타,M,중년,N,N
7,김정순,춘천 술 박사님의 알코올 철학에 팩폭 날리는 여사님 | ,41,285,4,1,181,0,1290,2.7,기타,F,중년,N,N
8,한정석,[선공개] 큰 자기 광대 승천♡ 어서 와 ′초등학교썸′은 처음이지? | ,41,156,4,0,248,0,1290,2.7,기타,M,어린이,N,N
9,홍보민,[선공개] 큰 자기 광대 승천♡ 어서 와 ′초등학교썸′은 처음이지? | ,41,156,4,0,248,0,1290,2.7,기타,M,어린이,N,N
10,길태후,[선공개] 큰 자기 광대 승천♡ 어서 와 ′초등학교썸′은 처음이지? | ,41,156,4,0,248,0,1290,2.7,기타,M,어린이,Y,N
11,길흥순,박사마을에는 1가구 1박사 아닌가요? 아닙니다 (단호) | ,41,91,0,0,177,0,1290,2.7,산업,F,중년,Y,N
12,서담희,큰 자기 찐팬♡ 무한 긍정 자기님 등장! | ,43,190,2,0,430,0,1290,2.4,기타,F,청년,N,N
13,세나,점점 올라가는 큰 자기의 진실의 광대? 이건 썸이다♡ | ,43,113,1,0,216,0,1290,2.4,기타,F,청년,Y,N
14,남숙현,조셉과의 착즙 멜로? 자기님도 모르게 온몸 거부ㅋㅋ | ,43,84,1,0,178,0,1290,2.4,산업,F,청년,N,N
15,김기숙,유퀴즈 코너 속 코너! ＜조씨의 이름을 지어라＞,43,70,2,0,212,0,1290,2.4,기타,F,중년,N,N
16,임재윤,유퀴즈 코너 속 코너! ＜조씨의 이름을 지어라＞,43,70,2,0,212,0,1290,2.4,기타,M,청년,N,N
17,이규형,자기님의 꿈이 되어준 아버지 그리고 행복한 기억 | ,43,50,0,0,180,0,1290,2.4,기타,M,청년,N,N
18,김범준,수능 18시간 전! 이 시점에서(?) 고3의 아찔한 고백...☆ | ,45,297,1,0,222,0,1290,2.5,기타,M,청년,Y,N
19,최연애,고덕동 삼 남매.. 아니 조셉까지 사 남매!? | ,45,207,2,0,239,0,1290,2.5,서비스,F,중년,N,N
20,고대영,고덕동 삼 남매.. 아니 조셉까지 사 남매!? | ,45,207,2,0,239,0,1290,2.5,기타,M,청년,Y,N
21,고석교,고덕동 삼 남매.. 아니 조셉까지 사 남매!? | ,45,207,2,0,239,0,1290,2.5,서비스,M,중년,N,N
22,김현지,쌍둥이 자기님들이 제일 많이 듣는 질문 1위는? | ,45,68,0,0,185,0,1290,2.5,기타,F,청년,N,N
23,김현이,쌍둥이 자기님들이 제일 많이 듣는 질문 1위는? | ,45,68,0,0,185,0,1290,2.5,기타,F,청년,N,N
24,이태석,일을 너무 열심히 하셨던 아버지... 자식들에겐 어떤 아버지였나요? | ,45,58,2,0,432,0,1290,2.5,서비스,M,중년,N,N
25,정대례,유재석을 눈물 쏟게 만든 의료진의 한 마디 ′저는 괜찮습니다′ | ,47,71350,997,143,452,0,1290,2.606,전문기술,F,청년,N,N
26,김슬기,임관하자마자 대구로 파견된 간호장교의 각오 | ,47,1285,19,0,167,0,1290,2.606,전문기술,F,청년,N,N
27,서명옥,′왜 꼭 엄마가 가야 해?′ 담담해서 더욱 먹먹한 대구 자원봉사 의료진의 이야기 | ,47,594,12,0,387,0,1290,2.606,전문기술,F,청년,N,Y
28,함범녀,(눈물주의) 코로나19로 아이들과 마지막 인사조차 못한 문방구 할머니 ′얘들아 꼭 와′ | ,47,528,10,0,173,0,1290,2.606,기타,F,노년,Y,N
29,함범녀,사랑했어요! 당신께 충분히 사랑받은 학생들로부터... | ,42,37,2,0,185,60000,1271,2.606,기타,F,노년,Y,N
30,배용호,"위기 속에서도 빛나는 봉사활동! 자기님, 존경합니다! | ",47,298,0,0,186,0,1290,2.606,서비스,M,중년,Y,N
31,이동훈,이 시대의 영웅 ′코로나 맵′ 개발자 자기님의 사명감! | ,47,242,3,1,419,0,1290,2.606,전문기술,M,청년,N,N
32,이지연,코로나19 확진자 진료 책임자 자기님이 말하는 현장 | ,47,201,1,0,294,0,1290,2.606,전문기술,F,청년,N,N
33,이지연,코로나19 확진자 진료 책임자 자기님이 말하는 현장 | ,47,201,1,0,294,0,1290,4.432,서비스,F,청년,N,N
34,이지연,자기 이름을 알아듣고 인사하는 물범 ≥ㅁ≤ 동물들만의 애정표현? ♥#,133,144459,1998,62,201,632009,797,2.606,전문기술,F,청년,N,N
35,이지연,자기 이름을 알아듣고 인사하는 물범 ≥ㅁ≤ 동물들만의 애정표현? ♥#,133,144459,1998,62,201,632009,797,4.432,서비스,F,청년,N,N
36,강미연,"2020년 현재, 대한민국에서 방역 업자로 산다는 것 | ",47,71,1,0,158,0,1290,2.606,서비스,F,중년,N,N
37,차금덕,임대료 50% 인하! 건물주 자기님이 통 큰 결정을 하게 된 사연 | ,47,69,1,0,217,0,1290,2.606,서비스,F,중년,N,N
38,신덕순,다시 만난 유퀴즈 자기님들! 잘 지내셨나요? (ft.뜻밖의 조남지대) |,47,52,0,0,306,0,1290,2.606,서비스,F,중년,N,N
39,김한슬,[#유퀴즈] 48화 레전드! ′고백&꼬심 분담제 자기님′부터 ′숨길 수 없는 크흡!′까지! | ,48,4422,17,2,470,0,1290,2.2,전문기술,F,청년,N,N
40,김건태,[#유퀴즈] 48화 레전드! ′고백&꼬심 분담제 자기님′부터 ′숨길 수 없는 크흡!′까지! | ,48,4422,17,2,470,0,1290,2.2,전문기술,M,청년,N,N
41,최자영,(꿀잼퀴즈) O초전에 클릭하면 수강신청 성공률이 높아진다? | ,48,2552,12,0,99,0,1290,2.2,기타,F,청년,N,N
42,최희화,′엄마 보고싶어′ 천하장사 자기님이 하늘에 올리는 편지 | ,48,1125,13,1,228,0,1290,2.2,운동선수,F,청년,Y,N
43,김지헌,"[선공개] 잠복(?) 중인 예능캐 낸자기님, 당황했나요 hoxy~? | ",48,371,1,0,161,0,1290,2.2,기타,F,청년,Y,N
44,최정희,직장을 그만 둔 자기님! ,48,100,2,0,461,0,1290,2.2,서비스,F,청년,N,N
45,신원호,신원호 PD에게 ′이우정 작가′란? 그리고... 가장 큰 고민은? | ,49,9755,53,3,114,0,1290,2.5,서비스,M,청년,Y,Y
46,김대주,기승전 산티아고? 무한도전 종영 후 가장 아쉬웠던 것은? | ,49,2636,21,1,150,0,1290,2.5,예술인,F,청년,N,N
47,김란주,기승전 산티아고? 무한도전 종영 후 가장 아쉬웠던 것은? | ,49,2636,21,1,150,0,1290,2.5,예술인,F,청년,N,Y
48,정종연,강호동을 만난 정종연 PD! 가장 기억에 남았던 그 말은? | ,49,1269,14,0,108,0,1290,2.5,서비스,M,청년,N,Y
49,이명한,쫓기는(?) 티벤져스의 캡틴? tvN 이명한 본부장님 출격!! | ,49,382,5,1,123,0,1290,2.5,서비스,M,중년,Y,Y
50,이윤수,[선공개] 서울대에 효심까지? 드래곤(?) 끝판왕 ′장수′의 아들 윤수 자기님☆ | ,50,434,3,0,395,0,1290,2.323,기타,F,청년,N,N
51,이윤수,(학부모님 시청 금지) 장수의 아들! 서울대 새내기 등장♨ | ,50,254,6,0,221,0,1290,2.323,기타,F,청년,N,N
52,이준서,수학 18점에서 전교 1등까지?! 자기님의 내신 FLEX☆ | ,50,280,3,0,138,0,1290,2.323,기타,M,청년,Y,N
53,김민주,부모님에게 들려주고 싶은 새내기 자기님의 속마음... | ,50,74,1,0,188,0,1290,2.323,기타,F,청년,N,N
54,박영서,서울 택시 괴담보다 무서운(?) 조셉의 환상 몸개그☆ | ,50,64,2,0,117,0,1290,2.323,기타,F,청년,N,N
55,박서현,서울 택시 괴담보다 무서운(?) 조셉의 환상 몸개그☆ | ,50,64,2,0,117,0,1290,2.323,기타,F,청년,N,N
56,오동고 프란시스 응고메 오켈로,케냐에 가서도 빨리빨리! 한국에 너무 익숙해진 프란시스... | ,51,1243,14,0,151,0,1290,2.735,기타,M,청년,N,N
57,재재,이것이 유교걸 재재의 인터뷰다! 조사당하는 자기들? | ,51,1192,22,0,153,0,1290,2.735,연예인,F,청년,Y,Y
58,장명숙,밀라논나 스타일로 재해석! 큰 자기&아기자기의 패션 변신☆ | ,51,1084,16,0,231,0,1290,2.735,예술인,F,노년,Y,N
59,박지선,박지선 교수님의 반전 매력♡ ′범죄? 저지르지 마!′ | ,52,3503,81,4,196,0,1290,2.601,연예인,F,청년,N,Y
60,유성호,죽어야 만나는 남자? 법의학자 유성호 교수님이 말하는 ′부검′ 이야기 | ,52,2976,34,7,417,0,1290,2.601,사회복지,M,중년,Y,Y
61,표창원,프로파일러 표창원! 그가 말하는 안타까운 대한민국 미제 사건들 | ,52,1570,18,3,377,0,1290,2.601,전문기술,M,중년,Y,Y
62,진용진,카메라 울렁증 ′그것을 알려드림′ 유튜버??? | ,52,867,15,3,159,0,1290,2.601,예술인,M,청년,N,Y
63,진용진,너무나 궁금했던 그 질문! ′부자들도 요구르트 뚜껑 핥아먹나요...?′ | ,52,450,10,0,109,0,1290,2.601,예술인,M,청년,N,Y
64,김정기,[#유퀴즈] 난이도 최상! 반전의 연속! 100% 실화 리얼 '씨씨의 세계' |,53,3902,99,8,409,0,1290,2.009,서비스,F,청년,N,N
65,이봉수,답답헀던 그때 그 마음... 베트남 전쟁에 참전한 이유 | ,53,3323,39,5,193,0,1290,2.009,기타,M,노년,Y,N
66,김선기,"[#유퀴즈] 존경하는 나의 어머니, 그리고 그 '어머니'에게 올리는 눈물의 편지 |",53,1804,19,0,406,0,1290,2.009,기타,M,청년,N,N
67,장효인,′효인아 뭐가 필요하니?′ 역시 미담 머신 큰 자기☆ | ,54,4407,58,2,87,0,1290,2.095,사회복지,F,청년,Y,Y
68,이명학,일타 강사 이명학에게 묻는다! 공부 잘하는 방법은? #복해불러리 | ,54,2871,32,0,240,0,1290,2.095,연예인,M,청년,Y,Y
69,송미경,숙제 빌런(?) 송미경 선생님! 큰 자기에게까지 숙제를?? | ,54,172,3,1,216,0,1290,2.095,사회복지,F,청년,Y,N
70,존리,[선공개] 알고 보니 땅에다 돈을 버리는 조셉??? ′부자′란 무엇인가! | ,55,497,11,0,229,0,1290,2.357,연예인,M,청년,N,N
71,안은진,[선공개] 찐자기님♡ 추민하&도재학 자기님의 신선한 친구 자랑(?) 토크 | ,56,906,18,2,265,0,1290,3.109,연예인,F,청년,Y,Y
72,안은진,[선공개] 찐자기님♡ 추민하&도재학 자기님의 신선한 친구 자랑(?) 토크 | ,56,906,18,2,265,0,1290,5.2,연예인,F,청년,Y,Y
73,안은진,안은진 자기님의 청룡영화상 드레스 사고 해명(?) + 귀여운 랜플댄 포함♥#,222,320892,2814,228,630,"881,000",64,3.109,연예인,F,청년,Y,Y
74,안은진,안은진 자기님의 청룡영화상 드레스 사고 해명(?) + 귀여운 랜플댄 포함♥#,222,320892,2814,228,630,"881,000",64,5.2,연예인,F,청년,Y,Y
75,정문성,[선공개] 찐자기님♡ 추민하&도재학 자기님의 신선한 친구 자랑(?) 토크 | ,56,906,18,2,265,0,1290,3.109,연예인,M,청년,N,Y
76,김호중,[선공개] 트바로티 김호중! 떡잎부터 남달랐다...?! (feat. 겸손한 조셉) | ,57,157630,4105,105,176,0,1290,3.086,연예인,M,청년,N,Y
77,김민재,[선공개] 범죄도시 마동석의 모델이... 러블리한 경위님?♡ (feat. 코 자기) | ,60,2835,40,0,157,0,1290,2.852,연예인,M,청년,Y,Y
78,백현,[하이라이트] #유퀴즈온더블럭 EXO 백현 자기님의 진솔 매력 모음! |,61,9963,497,25,452,0,1290,2.52,연예인,M,청년,N,Y
79,임하룡,[선공개] 이것이 대부 임하룡의 입담! 방심할 수 없는 화려한 티키타카☆ | ,62,4769,72,6,287,0,1290,2.753,연예인,M,중년,N,Y
80,최유나,[선공개] ′사랑과 전쟁′은 순한 맛?! 큰 자기 도플갱어(?) 이혼 전문 최유나 변호사 | ,63,6445,67,1,356,0,1290,3.241,전문기술,F,청년,N,N
81,주언규,[#하이라이트#] 월 1억 8천! 퇴사하고 5년만에 월 수입 100배?! | ,64,1231,22,0,626,0,1290,3.241,예술인,M,청년,Y,N
82,정우성,[#하이라이트#] 정우성 자기님... 짜릿해 늘 새로워♡ 우성탐구생활.zip | ,65,97812,1104,111,649,0,1290,3.466,연예인,M,중년,Y,Y
83,황상만,"약촌오거리 살인사건, ′무죄′가 선고되던 그날 | ",65,11031,234,20,230,0,1290,3.466,사회복지,M,중년,N,N
84,권문현,전설의 수문장! 44년 경력의 호텔 도어맨 자기님 | ,65,259990,2385,180,269,0,1290,3.466,서비스,M,청년,N,N
85,김새별,[#하이라이트#] 특수청소 전문 김새별 대표가 전하는 '삶'의 이야기 | ,66,239496,4153,289,570,20000,1283,2.736,연예인,F,청년,N,N
86,김창한,[#하이라이트#] 배틀그라운드의 아버지! 의외의 허술美...★ 배그 비하인드 썰 다 모았다! | ,66,338282,2470,351,643,20000,1283,2.736,전문기술,M,청년,N,N
87,김예지,피아니스트에서 국회의원이 된 김예지 자기님의 이야기 | ,66,52131,781,90,195,20000,1283,2.736,사회복지,F,중년,N,Y
88,남형도,"브래지어, 남자가 입어봤다? 구독자 수 1위 기자님의 체헐리즘! | ",66,3606,62,0,179,20000,1283,2.736,서비스,M,청년,Y,N
89,김동우,"[#하이라이트#] 흐려지는 역사를 붙잡아 기록하는 사진작가들, 라미 작가& 김동우 자기님#",67,166166,1750,244,1478,40000,1275,2.174,예술인,M,중년,Y,N
90,박건호,"[#하이라이트#] 일제의 만행, 고문하고 매장하고 방치하고... 우리가 역사를 잊으면 안되는 이유 | ",67,110085,2405,230,614,40000,1275,2.174,예술인,M,중년,Y,N
91,문수일,8호 감방에 유관순 열사와 함께 수감됐던 어머니 | ,67,54543,604,97,161,40000,1275,2.174,기타,M,노년,N,N
92,한순옥,′모두가 만세 부르고...′ 한순옥 여사님이 기억하는 광복의 순간! | ,67,2300,91,4,116,40000,1275,2.174,기타,F,노년,N,N
93,진성호,[#유퀴즈] 큰 자기 도플갱어 선생님! 안경 도수까지 똑같다고...? (소름) ,46,28841,403,31,350,60000,1271,2.5,사회복지,M,청년,N,N
94,김혜진,[#유퀴즈] 당신의 삶이 '일시정지'가 된 적이 있었나요?,46,22394,300,17,275,60000,1271,2.5,기타,F,청년,N,N
95,현순심,인생이 온통 바다였던 해녀의 삶... 그들에게 듣는 '바다의 의미' | ,46,4418,90,4,325,60000,1271,2.5,서비스,F,중년,Y,N
96,고병선,인생이 온통 바다였던 해녀의 삶... 그들에게 듣는 '바다의 의미' | ,46,4418,90,4,325,60000,1271,2.5,서비스,F,중년,Y,N
97,김동일,제주도에서 만난 자기님은 '이야기보따리'☆ | ,46,850,7,0,337,60000,1271,2.5,기타,M,청년,Y,N
98,송광호,[#유퀴즈] 연애만 11년! 신혼부부가 말하는 '연애와 결혼의 차이'는? ,42,629306,2518,161,362,60000,1271,2.3,연예인,M,청년,N,N
99,강명은,[#유퀴즈] 연애만 11년! 신혼부부가 말하는 '연애와 결혼의 차이'는? ,42,629306,2518,161,362,60000,1271,2.3,기타,F,청년,N,N
100,함범녀_2,"따뜻한 놀이터, 할머니가 계시던 그곳 '후암동 문방구' | ",42,3308,68,6,403,60000,1271,2.3,기타,F,노년,Y,N
101,정영석,기다림의 고통...ㅋㅋ 유쾌한 자기님의 생생한 보조 출연 후기 | ,42,460,7,0,437,60000,1271,2.3,예술인,M,청년,Y,N
102,전종안,기적의 자기님' 하루 만에 빠다(?) 발음 고치는 방법! | ,42,78,0,0,204,60000,1271,2.3,사회복지,M,중년,Y,N
103,홍시율,큰 자기의 원활한 토크 진행을 위해! 믿고 맡기는 아기자기 육아☆ | ,42,38,0,0,208,60000,1271,2.3,사회복지,M,청년,N,N
104,홍동규,큰 자기의 원활한 토크 진행을 위해! 믿고 맡기는 아기자기 육아☆ | ,42,38,0,0,208,60000,1271,2.3,사회복지,M,중년,N,N
105,박정호,교도관들의 딜레마... 딸 굶겨 죽인 '게임중독 부부'를 마주했다... | ,68,1348204,9364,1205,105,60000,1271,3.617,사회복지,M,중년,N,N
106,박진영,[#하이라이트#] JYP는 다 계획이 있구나? 캐릭터 뚜렷한 박진영 자기님 모음.zip | ,68,1235142,12852,908,733,60000,1271,3.617,연예인,M,중년,N,Y
107,심은이,[#하이라이트#] 유재석에게 죽음이란..? 살면서 만나고 싶지 않을 ′죽음′에 관한 이야기 | ,68,806772,7765,812,702,60000,1271,3.617,서비스,F,중년,N,N
108,이승훈,처... 천억이요!? COVID-19 신약 개발이 그토록 오래 걸리는 이유 | ,68,85863,612,105,166,60000,1271,3.617,전문기술,M,중년,Y,N
109,서권순,악한(?) 시어머니 전문 서권순 자기님의 솔직 당당 반전 매력♡ | ,68,9951,105,9,178,60000,1271,3.617,연예인,F,중년,N,Y
110,김지희,제주살이를 꿈꾸는 당신께! 현실적인 조언을 드립니다☆ | ,46,126835,729,68,266,80000,1262,2.5,서비스,F,중년,Y,N
111,정만택,제주살이를 꿈꾸는 당신께! 현실적인 조언을 드립니다☆ | ,46,126835,729,68,266,80000,1262,2.5,서비스,M,중년,N,N
112,윤종계,[#하이라이트#] 치-멘! 양념치킨 창시자 윤종계 자기님 현웃 모음★ | ,69,199323,2228,348,787,80000,1262,3.867,산업,M,노년,N,N
113,범녀할머니,그동안 정말 감사했습니다...! 후암동 문방구 사장님의 아름다운 안녕 | ,69,55487,958,70,747,80000,1262,3.867,기타,F,노년,N,N
114,권용태,전 세계 대유행 토끼모자! 그런데 총수익이...? (=특허의 중요성) | ,69,5060,86,14,253,80000,1262,3.867,전문기술,M,중년,Y,N
115,양재명,네? 400kg요? 국내 최대 ′슈퍼호박′을 키워낸 양재명 자기님! | ,69,1600,31,4,144,80000,1262,3.867,산업,M,중년,Y,N
116,이승주,[선공개] 다시 만난 레전드 띵언 어린이 자기님들☆ 그들이 말하는 Z세대는? #,70,58911,779,104,324,100000,1255,2.906,기타,M,어린이,N,N
117,송수연,[선공개] 다시 만난 레전드 띵언 어린이 자기님들☆ 그들이 말하는 Z세대는? #,70,58911,779,104,324,100000,1255,2.906,사회복지,F,중년,N,N
118,진현우,"′날아라 슛돌이′ 자기님께 듣는 슛돌이들 근황!? (feat. 지승준, 김태훈) #",70,32900,163,21,149,100000,1255,2.906,운동선수,M,청년,N,N
119,오지우,"′날아라 슛돌이′ 자기님께 듣는 슛돌이들 근황!? (feat. 지승준, 김태훈) #",70,32900,163,21,149,100000,1255,2.906,운동선수,M,청년,N,N
120,이정희,"최루탄을 맞고 쓰러진 이한열 열사... 1987년 6월 9일, 그날의 기억 #",70,24435,289,17,258,100000,1255,2.906,사회복지,F,중년,Y,N
121,이욱진,′커피숍과 카페의 차이는...′ X세대 자기님의 ′파르펙트′한 설명☆ #,70,7426,83,8,166,100000,1255,2.906,전문기술,F,청년,N,N
122,민석기,독일로 떠나던 그날... 산업화세대 민석기 자기님의 생생한 이야기 #,70,6542,90,14,205,100000,1255,2.906,산업,M,중년,Y,N
123,윤주은,인생 N회차? 토크 고수 어린이 자기님의 띵언 제조 현장! | ,44,13697,329,28,428,120000,1249,3.2,기타,F,어린이,N,N
124,남진현,아기자기 친척 아니세호? 조셉 도플갱어 자기님 등장! | ,44,9952,191,27,320,120000,1249,3.2,기타,F,중년,N,N
125,이정숙,(눈물 주의) '우리 어머니는요..' 자기들을 울린 위대한 모정 | ,44,5292,40,2,387,120000,1249,3.2,서비스,F,중년,Y,N
126,이민희,큰 자기 유재석에게 가장 잘 어울리는 안경 스타일은? | ,44,112,0,0,123,120000,1249,3.2,서비스,F,중년,Y,N
127,이민희,아기자기의 투머치 멘트 외면하는 자기님 ㅋㅋㅋ | ,44,26,0,0,139,120000,1249,3.2,서비스,F,중년,Y,N
128,조재동,기술을 배울 수밖에 없었던 자기님이 장인이 되기까지... | ,44,38,0,0,233,120000,1249,3.2,서비스,M,중년,Y,N
129,권성기,큰 자기를 울린 결혼 10주년 부부의 애틋한 사랑...♡ | ,41,8430,165,9,401,120000,1249,2.7,서비스,M,중년,Y,N
130,김지명,[#하이라이트#] 수능만점자 프린스 홍★ 민준홍의 자만추(?) 연애스토리 공개! UN프로그램에서 만났다..? #,71,861241,9879,911,770,120000,1249,3.398,기타,M,청년,N,N
131,민준홍,[#하이라이트#] 수능만점자 프린스 홍★ 민준홍의 자만추(?) 연애스토리 공개! UN프로그램에서 만났다..? #,71,861241,9879,911,770,120000,1249,3.398,기타,M,청년,N,N
132,김성민,유럽 물리올림피아드 싹쓸이?! 과학고 자기님들과의 부끄러운(?) 토크 #,71,22640,230,13,230,120000,1249,3.398,기타,M,어린이,N,N
133,서지음,[#하이라이트#] (띵곡 비하인드) 서지음 작사가 Pick은? 오마이걸 windy day♥ 레드벨벳 LP♥ #,71,543640,8201,681,711,120000,1249,3.398,예술인,F,청년,N,Y
134,최현민,유럽 물리올림피아드 싹쓸이?! 과학고 자기님들과의 부끄러운(?) 토크 #,71,22640,230,13,230,120000,1249,3.398,기타,M,어린이,N,N
135,백희나,국내 최초 ′아스트리드 린드그렌상′ 수상!? 구름빵 백희나 자기님! #,71,13815,284,16,172,120000,1249,3.398,예술인,F,중년,N,N
136,임두원,최대 난제 탕수육 부먹 vs 찍먹! ′과학적′으로 분석해본다면...? #,71,4910,50,31,249,120000,1249,3.398,전문기술,M,중년,N,N
137,유꽃비,[#하이라이트#] 주류회사 팀장님의 멘트 클라쓰ㅋㅋ 일반인 레전드 유꽃비 자기님 모음ZIP #,72,2051751,21795,1859,682,140000,1241,3.689,서비스,F,청년,Y,N
138,변상희,[#하이라이트#] 우당탕탕 신입사원 눈 떠보니 아침 햇살이 눈부시고 새가 지저귀고 팀장님 부재중 전화 5통 썰#,72,521109,3106,222,1036,140000,1241,3.689,서비스,F,청년,Y,N
139,소재현,[#하이라이트#] 우당탕탕 신입사원 눈 떠보니 아침 햇살이 눈부시고 새가 지저귀고 팀장님 부재중 전화 5통 썰#,72,521109,3106,222,1036,140000,1241,3.689,서비스,F,중년,N,N
140,박광주,사장님보다 연봉이 높은 부장님? 우리나라 자동차 판매 1위! 영업왕 자기님 #,72,208375,954,136,209,140000,1241,3.689,서비스,M,청년,Y,N
141,박용준,[선공개] 네? 초콜릿 어묵이요ㅇ_ㅇ? 천억 매출의 신화! 어묵 계의 스티브 잡스☆ #,72,102982,727,84,275,140000,1241,3.689,서비스,M,청년,N,N
142,신민아,[#하이라이트#] 러블리의 인간화! 솔직 매력 뿜뿜하는 신민아 자기님 모음ZIP,73,1278219,6437,271,580,160000,1232,4.032,연예인,F,청년,N,Y
143,오진우,프로망붕러 광대 폭발♡ 과속스캔들 실사판 자기님들! | ,43,81214,700,23,554,160000,1232,2.4,기타,M,청년,N,N
144,이현주,프로망붕러 광대 폭발♡ 과속스캔들 실사판 자기님들! | ,43,81214,700,23,554,160000,1232,2.4,기타,F,청년,N,N
145,이금주,비행기도 끼어들기를 한다!? 하늘길을 만드는 관제사 자기님! #,73,15007,170,5,189,160000,1232,4.032,서비스,F,청년,Y,N
146,김선태,큰 자기 충격...! 충주시 홍보맨 자기님이 받아본 악플들ㅠㅠ #,73,9502,126,6,149,160000,1232,4.032,사회복지,M,청년,N,N
147,김춘재,락스는 잘못이 없어요ㅠㅠ 자기님이 알려주는 락스에 관한 오해들 #,73,9194,89,7,169,160000,1232,4.032,서비스,M,청년,N,N
148,김태현,문재인 대통령-트럼프 대통령 사이에서 밥 먹은 자기님의 역대급 SSUL #,73,4989,46,4,274,160000,1232,4.032,사회복지,M,노년,Y,N
149,올레디,[#하이라이트#] 걸크 뿜뿜♨ 댄스 듀오 '올레디' 자기님들의 고추냉이 맛 토크 모아봤zip #,74,2836030,32179,1761,506,180000,1227,2.487,예술인,F,청년,N,N
150,이수영,신혼생활 2년 차♥ 이수영 회장님이 결혼을 결심한 이유!? #,74,1509755,9879,443,197,180000,1227,2.487,산업,M,노년,Y,N
151,이날치,밴드와 국악의 환상 조화! '이날치'의 노래가 작자 미상인 이유? #,74,1312765,10580,391,159,180000,1227,2.487,예술인,F,중년,N,Y
152,이상혁_2,[#하이라이트#] e스포츠의 전설 '페이커' 유퀴즈 등판! '우리혁'의 차분~한 입담 모아보기.zip,74,3134317,39388,5576,525,180000,1227,2.487,운동선수,M,청년,N,N
153,이봉식,"""곳곳에 널브러진 시신들.."" 해병대 1기 이봉식 선생님의 인천상륙작전 이야기 #",74,47595,725,99,206,180000,1227,2.487,기타,M,노년,Y,N
154,윤선영,손 모델 자기님의 남다른 직업의식! 철저한 '금손' 관리법은?  #,75,514407,1928,352,183,220000,1217,3.188,예술인,F,청년,Y,N
155,김관훈,[#하이라이트#] 누구보다 떡볶이에 진심인 두끼 떡볶이 대표 김관훈 자기님.zip   #,75,268982,2652,225,637,220000,1217,3.188,서비스,M,청년,N,N
156,권지안,[#하이라이트#] 찐아티스트로 거듭난 금손!! 매력 터지는 솔비 자기님 모아보기   #,75,85064,881,740,478,220000,1217,3.188,서비스,F,청년,N,N
