,출연자,제목,회차,조회수,좋아요수,댓글수,재생시간(초),구독자수,term,시청률,직업,성별,나이,수상여부,인지도
157,권동호,"""수어는 서비스가 아니에요"" 수어통역사 권동호 자기님이 바라는 점  #",75,65721,1331,81,230,220000,1217,3.188,전문기술,M,중년,Y,N
158,석노기,써본 사람만 안다! 감탄을 부르는 대장장이 자기님의 호미 부심  #,75,20686,291,15,165,220000,1217,3.188,예술인,M,중년,Y,N
159,김철민,[#하이라이트#] 난리났네 난리났어! 부산세관 김철민팀장님의 현웃 성대모사ㅋㅋㅋㅋㅋ (feat.뭉게구름 화법) #,76,1625367,16144,992,598,240000,1212,3.542,사회복지,M,청년,N,N
160,김찬석,신문사 국장이었던 김찬석 자기님이 9급 공무원이 된 이유 #,76,407690,4899,232,184,240000,1212,3.542,사회복지,M,중년,N,N
161,박정민,[#하이라이트#] 어딘가 이상하게 친절한(?) 기상청 박정민 예보관 자기님 모아보기 #,76,146311,1303,236,639,240000,1212,3.542,연예인,M,청년,Y,Y
162,박정민,[#하이라이트#] 어딘가 이상하게 친절한(?) 기상청 박정민 예보관 자기님 모아보기 #,76,146311,1303,236,639,240000,1212,4.633,연예인,M,청년,Y,Y
163,이제길,무인도 '격렬비열도'를 지키는 등대지기 자기님에게... '휴일'이란?#,76,119761,814,60,131,240000,1212,3.542,사회복지,M,청년,Y,N
164,송지헌,[#하이라이트#] 경력 끝판왕☆ 거쳐간 직업만 4개?! 송지헌 자기님 모음.zip#,77,616623,7010,827,649,260000,1206,4.009,기타,F,청년,N,N
165,박승희,[#하이라이트#] 은퇴가 제일 쉬웠어요(?) 세상 쿨한 박승희 자기님 모아보기#,77,604317,4331,262,529,260000,1206,4.009,전문기술,F,청년,Y,Y
166,김영삼,[선공개] 개그맨 출신 치과의사! 샤이가이(?) 김영삼 자기님 (feat. 조셉의 치아 미스터리) #,77,361815,2871,216,301,260000,1206,4.009,전문기술,M,중년,N,Y
167,권진성,28년간의 꿈이 현실이 되었을 때...! 가장 먼저 든 생각은? #,77,81824,765,113,208,260000,1206,4.009,전문기술,M,중년,N,N
168,김재연,[#하이라이트#] 온종일 돼지고기 썰다가 미국 유학 전액장학금 연락도 안 받은(!) 카이스트 출신 자기님 #,78,2265351,13831,1432,804,280000,1198,3.737,서비스,M,청년,N,N
169,울프 슈뢰더,[#하이라이트#] 'I LOVE 부대찌개♥' 대한미국인 울프 슈뢰더 자기님 모음 #,78,1372911,13401,803,639,280000,1198,3.737,기타,M,청년,N,N
170,김지민,다니던 직장까지 그만둔 열정! 백종원도 인정한 어류 칼럼니스트 자기님 #,78,269540,1726,176,189,280000,1198,3.737,산업,F,청년,Y,N
171,김기환,[#하이라이트#] '대표님 사랑해요♥' 막걸리 대표 자기님과 격한(?) 직원들 모음.zip #,78,210270,1575,119,502,280000,1198,3.737,서비스,M,중년,Y,N
172,김용덕,"김용덕 자기님의 목표는,,,  '나의 업을 국가의 경쟁력으로 만드는 것!"" #",78,21735,352,16,111,280000,1198,3.737,서비스,M,중년,Y,N
173,김의주,[#하이라이트#] 전국에 딱 7명 있는 직업? 국과수 자기님들과의 토크 #,79,4163492,34143,2629,559,300000,1191,3.382,전문기술,F,청년,Y,N
174,곽유진,[#하이라이트#] 전국에 딱 7명 있는 직업? 국과수 자기님들과의 토크 #,79,4163492,34143,2629,559,300000,1191,3.382,예술인,M,청년,Y,N
175,이동계,미세증거 전문가 이동계 자기님께 듣는 경남 로프줄 절단 사건 이야기#,79,758956,5580,752,258,300000,1191,3.382,전문기술,M,중년,Y,N
176,이동섭,강호순 연쇄살인사건이 끝날 수 있었던 결정적인 증거가 DNA?!#,79,598560,4215,173,229,300000,1191,3.382,전문기술,M,청년,N,N
177,김희송,[#하이라이트#] 괄약근의 움직임으로 범인 잡는 의자가 있다?! 우리가 몰랐던 흥미로운 거짓말탐지의 세계#,79,323669,2576,85,633,300000,1191,3.382,전문기술,M,중년,N,N
178,박남규,박남규 자기님이 화재감식 전문가 일을 하면서 생긴 트라우마#,79,36762,353,5,86,300000,1191,3.382,전문기술,M,중년,Y,N
179,박남규,박남규 자기님이 화재감식 전문가 일을 하면서 생긴 트라우마#,79,36762,353,5,86,300000,1191,4.563,사회복지,M,청년,Y,N
180,박남규,[선공개] “대마 냄새를 아시나요?” 마약 전문 형사가 말하는 한국 마약 실태#,201,141785,944,178,107,"817,000",218,3.382,전문기술,M,중년,Y,N
181,박남규,[선공개] “대마 냄새를 아시나요?” 마약 전문 형사가 말하는 한국 마약 실태#,201,141785,944,178,107,"817,000",218,4.563,사회복지,M,청년,Y,N
182,박치우,[선공개] 속초 시내를 사수하라! 사상 최악의 산불 속으로 뛰어들었던 박치우 구조대원#,80,77749,1114,102,333,320000,1185,3.328,사회복지,M,청년,Y,N
183,김진선,[선공개] 2시간 코스? 40분 만에 돌파! 등산객을 지키는 북한산의 산신령 '산악구조대'#,80,48792,625,55,279,320000,1185,3.328,사회복지,F,청년,Y,N
184,조진영,10년 차 소방관! 119종합상황실 조진영 소방장님의 수당은...?#,80,41388,332,40,102,320000,1185,3.328,사회복지,F,청년,N,N
185,김명배,대구 지하철 화재현장에 최초 진입! 김명배 소방위님께 듣는 당시 이야기#,80,27833,283,44,363,320000,1185,3.328,사회복지,M,중년,N,N
186,신미애,신미애 소방위님께 직접 듣는 '구급대원의 긴급 출동 상황'#,80,5339,80,1,102,320000,1185,3.328,사회복지,F,청년,Y,N
187,김정현,[선공개] 이것이 모범생의 광기다...! 어쩌다 'BTS 여고생' (feat. 조회 수 700만!)#,81,913338,12468,753,282,340000,1178,3.637,연예인,F,중년,Y,N
188,정상훈,친구들의 '좋아요'로 알게되어버린 아빠의 SNS 영향력(?) #,81,92386,796,30,114,340000,1178,3.637,사회복지,M,청년,Y,N
189,장기하,[#하이라이트#] 어쩌다 베스트셀러 작가 장기하 자기님과의 토크 #,81,63146,688,23,328,340000,1178,3.637,연예인,M,중년,N,Y
190,조규태,안중근 의사의 재판 당시 기록?! 이걸 어디서 나셨어요...?? #,81,21679,428,20,274,340000,1178,3.637,기타,M,중년,Y,N
191,조민기,안중근 의사의 재판 당시 기록?! 이걸 어디서 나셨어요...?? #,81,21679,428,20,274,340000,1178,3.637,기타,M,청년,Y,N
192,한상원,큰 자기 리얼 웃음 폭발ㅋㅋ 유퀴즈 역대 가장 웃긴 오답!,81,5096956,35070,1617,156,340000,1178,3.637,예술인,M,청년,N,Y
193,이종효,이종효 자기님 카페 농번기 인기 메뉴ㅋㅋ 믹스커피x3 셰이크☆#,82,100151,825,58,121,360000,1171,4.866,서비스,M,청년,N,N
194,월호,대기업 출신(?)에서 스님이 되신 결정적 이유! '죽음에 대한 의문'#,82,44480,396,36,155,360000,1171,4.866,사회복지,M,중년,Y,N
195,김지용,정신과 전문의로서 가장 힘든 점... 환자와 함께 출렁이는 감정들ㅠㅠ#,82,33485,513,15,120,360000,1171,4.866,전문기술,M,중년,Y,N
196,공유,[선공개] 겨울이면 괜히 더 보고 싶어지는 배우! 공유가 ,82,739796,16868,821,449,360000,1172,4.866,연예인,M,중년,Y,Y
197,강방천,[#하이라이트#] IMF 때 1억 투자로 156억을 만든 주식의 대가! 강방천 자기님#,82,357239,2321,171,415,360000,1173,4.866,산업,M,노년,N,N
198,조석,유퀴즈에 놀러와 자기들을 뒤집어놓은 월클? 웹툰 작가님 모음! 야옹이 &조석 #여신강림 #마음의소리 #highlight #유퀴즈온더블럭,65,2377729,18288,3002,1013,380000,1164,3.466,예술인,M,중년,N,Y
199,최소라,[선공개] 세계적 브랜드들의 뮤즈☆ 스산하게(?) 등장한 월클 모델 최소라 자기님#,83,793741,8414,864,298,380000,1164,4.422,연예인,F,청년,N,Y
200,유영광,세계 군악 대회에서 한국 성악가의 위력을 보여준 유영광 자기님!#,83,366136,4060,208,172,380000,1164,4.422,예술인,M,청년,Y,N
201,김명중,폴 매카트니도 감동받은 한국 팬들의 K- 떼창문화♥ (aka 떼창의 민족)#,83,18982,237,11,117,380000,1164,4.422,예술인,M,청년,N,N
202,신진서,차세대 바둑 주역들에게 듣는 라이벌 '인공지능'에 대한 속마음#,83,16754,170,17,165,380000,1164,4.422,기타,M,어린이,Y,Y
203,야옹이,유퀴즈에 놀러와 자기들을 뒤집어놓은 월클? 웹툰 작가님 모음! 야옹이 &조석 #여신강림 #마음의소리 #highlight #유퀴즈온더블럭,83,2377729,18288,3002,1013,380000,1164,4.422,예술인,F,청년,Y,Y
204,김은희,[급공개] 급하게 만들어본 선선공개(?) 장르물의 대가 김은희 작가님과 큰 자기의 꿀잼 남매케미☆#,84,812279,9915,564,288,400000,1157,5.033,예술인,F,중년,N,Y
205,주지훈,[선공개] 주지훈 자기님과의 월클 토크☆ 정우성 자기님과의 술자리 비하인드 공개!?#,84,618670,7655,679,317,400000,1157,5.033,연예인,M,청년,Y,Y
206,주지훈,선과 악이 공존하는 매력적인 얼굴+연기력의 배우 주지훈X박정민#highlight#,109,92409,1105,88,1032,567250,982,5.033,연예인,M,청년,Y,Y
207,안태양,//울컥// 사업 성공 이전... 동생과 힘든 시간을 보냈던 안태양 자기님...#,84,31373,449,32,357,400000,1157,5.033,산업,F,청년,N,N
208,이진숙,프로파일러 이진숙 경위님이 이춘재와의 면담 중 들은 잊히지 않는 말#,85,979927,4849,1032,189,440000,1147,5.12,사회복지,F,중년,Y,N
209,권일용,국내 1호 프로파일러 권일용 자기님이 정남규를 잊을 수 없는 이유#,85,624038,4464,494,364,440000,1147,5.12,전문기술,M,중년,Y,Y
210,이수정,[선공개] 최초 공개! '그것이 알고싶다'의 근엄(?)한 이수정 교수님의 개인기?#,85,55335,1061,161,293,440000,1147,5.12,사회복지,F,중년,N,Y
211,황민구,[선공개] 보이지 않는 진실을 찾아낸다! '법영상 전문가' 황민구 소장님 (feat. 조셉 굿즈)#,85,38863,504,47,291,440000,1147,5.12,전문기술,M,중년,Y,N
212,정인성,회사에서 스티브 잡스 연설 듣고 바로 퇴사를 결정?! 정인성 자기님 정통파 인정!#,86,99504,751,51,223,460000,1140,3.982,서비스,M,청년,Y,N
213,노희원,꽉 막힌 퇴근길 차 안에서 들었던 그 목소리☆ 교통 리포터 노희원 자기님의 등장#,86,23481,293,16,171,460000,1140,3.982,서비스,F,중년,Y,N
214,금동건,[선공개] 마음이 밝아지는 유쾌함♬ 시 쓰는 환경미화원 금동건 자기님#,86,21483,471,49,394,460000,1140,3.982,예술인,M,중년,Y,N
215,박현준,유퀴즈 레전드 자기님과 다시 만났습니다! 헤비토커 박현준 자기님의 하루 일과는?,86,8755,122,9,165,460000,1140,3.982,기타,M,청년,Y,N
216,허필용,//울컥// 2020년 직장을 떠나고 아내도 떠나보내야 했던 남편이자 아버지의 가슴 아픈 후회#,87,960658,9127,771,331,480000,1133,4.609,전문기술,M,노년,N,N
217,강상희,[선공개] 수능이 끝나야 감금도 끝난다☆ 수능 출제위원들의 슬픈(?) 비하인드 스토리#,87,208884,2023,180,294,480000,1133,4.609,사회복지,M,중년,N,N
218,류승연,입사 1년 만에 막힌 하늘길... 새로운 비행을 꿈꾸는 전 승무원 류승연 자기님#,87,206094,1146,317,199,480000,1133,4.609,기타,F,청년,Y,N
219,송재익,"선수들이 즐겨 먹는 음식, 학력, 근황까지?! 이것이 TMI 중계! ""이게 왜요?"" (꿋꿋)#",87,59093,395,46,160,480000,1133,4.609,서비스,M,중년,N,Y
220,신재문,[선공개] 육전육승(?) 의대 6곳 합격의 주인공☆ 공부 꿀팁 대방출 (feat. ,88,504402,3260,2461,324,480000,1133,4.492,기타,M,청년,N,N
221,주미자,(뭉클) 어린 나이부터 쉬지 않고 일해온 주미자 작가님의 손을 보고 울컥한 큰 자기ㅠㅜ#,88,342666,4091,530,412,480000,1133,4.492,예술인,F,중년,Y,N
222,이유자,(뭉클) 어린 나이부터 쉬지 않고 일해온 주미자 작가님의 손을 보고 울컥한 큰 자기ㅠㅜ#,88,342666,4091,530,412,480000,1133,4.492,예술인,F,중년,Y,N
223,원태연,"[#하이라이트#] 애프터스쿨 ""샴푸"" 작사를 원태연 시인이?! 감성 충전하는 가사의 세계..♥#",88,265748,2467,213,906,480000,1133,4.492,예술인,M,청년,Y,Y
224,신우석,[#하이라이트#] 아기자기와 동갑 친구 케미 뽐내는 광고계의 봉준호(?) 등장ㅋㅋ 신우석 감독님 모음#,88,90786,963,82,661,480000,1133,4.492,예술인,M,청년,N,N
225,이승재,오늘의 집' 대표님은 신혼집 꾸미면서 안 싸우나요? (feat. 큰 자기의 로또 토크ㅋㅋㅋ)#,88,38434,438,20,101,480000,1133,4.492,서비스,M,청년,N,N
226,박상민,[#하이라이트#] 유재석이 정의하는 '30세'란? 아무렇지 않은 척하려 그러는데 아무렇...(더 보기)#,45,1437403,10422,1091,1036,500000,1127,2.5,산업,M,청년,Y,N
227,김춘식,[#하이라이트#] 큰 자기도 눈치 보는 저세상 토크 레전드 모음ㅋㅋ 통장 자기님부터 술박사 할아버지 부부까지#,44,160897,1210,68,925,502491,1122,3.2,서비스,M,중년,N,N
228,주려진,[#하이라이트#] 큰 자기도 눈치 보는 저세상 토크 레전드 모음ㅋㅋ 통장 자기님부터 술박사 할아버지 부부까지#,44,160897,1210,68,925,502491,1122,3.2,서비스,F,중년,N,N
229,정세랑,[선공개] 정유미X남주혁 {보건교사 안은영}의 정세랑 작가님☆ 그녀는 지독한(?) 탐조인?!#,89,87696,1721,126,353,502491,1122,4.671,예술인,F,중년,Y,Y
230,배두나,자기애 뿜뿜 원탑☆ 배두나 자기님이 말하는 '킹덤'이 잘 될 수밖에 없는 이유#,89,27885,340,23,268,502491,1122,4.671,연예인,F,청년,N,Y
231,이욱정,냉면은 원래 여름에 먹는 음식이 아니다? 음식 상식 전문가 이욱정 자기님이 말하는 '냉면'#,89,15507,168,11,154,502491,1122,4.671,서비스,M,중년,Y,Y
232,권범,[#하이라이트#] 얘들아 너네 썸타니..? 큰 자기 광대 승천♥ 레전드 초딩 트리오 모음!#,46,1399905,11483,385,1201,502491,1122,2.5,기타,M,어린이,N,N
233,윤석영,[#하이라이트#] 얘들아 너네 썸타니..? 큰 자기 광대 승천♥ 레전드 초딩 트리오 모음!#,46,1399905,11483,385,1201,502491,1122,2.5,기타,M,어린이,N,N
234,현정호,[#하이라이트#] 얘들아 너네 썸타니..? 큰 자기 광대 승천♥ 레전드 초딩 트리오 모음!#,46,1399905,11483,385,1201,502491,1122,2.5,기타,M,어린이,Y,N
235,무릎,[선공개] 철권 세계 랭킹 1위 무릎 자기님☆ 없던 기술도 만들어내는 천상계 랭커의 상금은?#,90,340016,3125,942,314,504981,1115,4.357,예술인,M,청년,N,N
236,김진호,[#하이라이트#] '소 특집'에 꼭 불러야 하는 게스트! 소몰이 창법의 神 김진호 자기님과의 토크 모음#,90,204617,2494,287,797,504981,1115,4.357,연예인,M,청년,Y,Y
237,이정화,서예가 이정화 자기님과 '이날치 밴드' 신유진 자기님의 친분? '찐친' 맞는 거 같네요...^^#,90,118484,954,34,192,504981,1115,4.357,예술인,F,중년,Y,N
238,이한경,반려동물과는 달라요... '대동물' 치료를 하는 이한경 수의사님의 고민?#,90,26911,347,27,232,504981,1115,4.357,전문기술,M,중년,Y,N
239,김민수,05학번 기억 소환 ☞ '동대문 감성' 온도&습도까지 전달되는 김해준 자기님의 연기!#,90,19567,237,17,212,504981,1115,4.357,연예인,M,청년,Y,Y
240,김해준,05학번 기억 소환 ☞ '동대문 감성' 온도&습도까지 전달되는 김해준 자기님의 연기!#,90,19567,237,17,212,504981,1115,4.357,연예인,M,청년,Y,Y
241,김영선,감정을 전달하는 김영선 배우님... 눈만 봤는데 흘러내리는 조셉의 눈물ㅠㅠ#,91,2982082,32649,3215,351,509963,1105,4.3,연예인,F,청년,Y,N
242,이종열,모두를 놀라게 한 실력... 유퀴즈 오디오 감독의 미니 연주회 (feat.이종열 조율사님),91,799144,6579,472,197,509963,1105,4.3,예술인,M,노년,Y,N
243,김태영,"큰 자기와 구면인 김태영 자기님? ""광고 찍은 그 장소... 제가^^ 찾아냈습니다!""#",91,21569,230,9,156,509963,1105,4.3,연예인,M,중년,N,N
244,안다훈,꿈에 대한 좌절보다 주변의 편견이 더 상처가 되었던 '불펜 포수' 안다훈 자기님#,91,14488,198,19,182,509963,1105,4.3,기타,M,청년,N,N
245,김선웅,큰 자기 헛웃음 나오게 만드는 잘생긴 무술감독 자기님 & 조셉의 투샷...ㅋㅋ#,91,8729,80,11,234,509963,1105,4.3,예술인,M,중년,Y,N
246,김유진,[#하이라이트#] 미라클 모닝 시작하실 분? 새벽을 여는 부지런함! 김유진 변호사+마켓컬리 김슬아대표#,86,554955,5836,323,1501,512454,1101,3.982,서비스,F,청년,N,N
247,강문종,[#하이라이트#] 조선시대 최고 연봉 직업은? ,89,516450,3207,127,1026,512454,1101,4.671,사회복지,M,중년,N,N
248,김민지,"[선공개] 랍스터, 대게 그리고 캐비어?! 학생들을 생각하는 마음이 모여 실현된 전설의 급식☆#",92,354366,3299,448,352,512454,1101,4.731,전문기술,F,청년,N,N
249,정미순,"실제 조향사님이 요청받은 의뢰 ""첫사랑의 향을 향수로 만들어 주세요...""?!#",92,201821,2486,136,97,512454,1101,4.731,전문기술,F,중년,Y,N
250,강승구,경찰에 전화해서 짜장면을? 위기의 순간을 직감한 경찰 썰의 실제 주인공...!#,92,7689,172,11,173,512454,1101,4.731,사회복지,M,청년,Y,N
251,윤문현,[#하이라이트#] 쩝쩝박사님들 사랑합니다..? 만수르도 선택한 K-푸드 아몬드+비오는 날 막걸리 매출 (!!)#,61,502165,2477,361,1510,514944,1096,2.52,서비스,M,중년,Y,N
252,지진희,전설의 우정여행 사진'에 대해 지진희 자기님이 직접 밝히는 비하인드 이야기#,93,456441,3691,196,137,514944,1096,4.88,연예인,M,중년,Y,Y
253,곽재식,괴물을 찾는 작가? 곽재식 자기님께 듣는 전통 괴물 '저승사자' 이야기#,93,432342,3671,248,235,514944,1096,4.88,전문기술,M,청년,N,Y
254,권오길,잊을 수 없는 손님'...그때를 회상하며 다시금 눈물을 보이시는 권오길 기사님ㅠㅜ#,93,187766,2048,143,155,514944,1096,4.88,서비스,M,청년,Y,N
255,양승찬,이과생에게 물었다! Q.눈이 녹으면 어떻게 될까요?#,93,56306,401,47,155,514944,1096,4.88,산업,M,청년,N,N
256,남형주,제가 전생에 코브라였던가요? 리코더와 바순으로 느껴보는 귀 호강?? #highlight#,93,3673608,28953,2382,1187,519926,1087,4.88,기타,M,청년,N,N
257,윤재원,보이지 않는 곳에서 안전한 공항을 만드는 사람들! 폭발물 처리반+관제사 #highlight#,94,906845,9181,546,985,519926,1087,4.762,전문기술,M,청년,Y,N
258,윤재원,[#하이라이트#] 유퀴즈 출연 때문에 일주일 동안 못 잔 라면스프 개발 팀장님#,95,711418,4864,453,647,524907,1078,4.762,전문기술,M,청년,Y,N
259,최현욱,[팩트체크] 미사일에 맞아도 무너지지 않는다는 국가기록원 벽의 진실...#,94,287957,2307,141,180,519926,1087,4.762,전문기술,M,청년,Y,N
260,허린,구성원 대부분이 특수부대출신! 폭발물 처리반 윤재원 반장님은 707대대 출신?!ㄷㄷ#,94,163835,694,121,159,519926,1087,4.762,전문기술,M,청년,Y,N
261,박찬암,국제해킹방어 대회 우승! 화이트 해커 박찬암 자기님이 말하는 해커에 대한 오해!#,94,25733,227,9,209,519926,1087,4.762,전문기술,M,청년,Y,Y
262,강수진,[#하이라이트#] 디카프리오와 보라돌이 성우가 같다고? 만화 찢고 나온 천의 목소리?? 강수진&김보민 성우#,92,531058,7064,572,1313,524907,1078,4.731,예술인,F,중년,Y,Y
263,김하경,[선공개] 3평 가게에서 820개 점포로☆ 달달하고 든든한 이삭토스트 소스 개발 스토리?!#,95,398278,3209,590,319,524907,1078,4.701,서비스,F,중년,Y,N
264,황순원,감자 토크의 늪... 감자 연구소 연구원님한테 '대홍단 왕감자' 물어보는 조셉ㅋㅋ#,95,9152,65,4,224,524907,1078,4.701,산업,M,청년,N,N
265,김재훈,80년대 회장님 자서전 같은(?) 김재훈 자기님의 K-농산물 수출 스토리#,95,8332,63,13,157,524907,1078,4.701,산업,M,중년,Y,N
266,맹성렬,UFO 전문가 맹성렬 교수님께 듣는 '로스웰 비행물체 추락 사건' 이야기#,96,516917,2411,835,275,527398,1073,3.793,전문기술,M,중년,N,N
267,정우덕,[#하이라이트#]시대를 앞서나간 발명가 자기님과 조곤조곤 할 말 다 하는 아내분..#,96,95471,831,128,629,527398,1073,3.793,전문기술,M,중년,Y,Y
268,이호림,이것이 2008년의 UCC 감성.! '야자 시간 립싱크'의 주인공 자기님들 등장☆#,96,28421,235,20,190,527398,1073,3.793,예술인,M,중년,Y,N
269,김경준,이것이 2008년의 UCC 감성.! '야자 시간 립싱크'의 주인공 자기님들 등장☆#,96,28421,235,20,190,527398,1073,3.793,예술인,M,중년,Y,N
270,최상식,{전설의 고향}의 아버지! 최상식 PD님이 K-저승사자 이미지를 만들게 된 계기#,96,7790,65,5,177,527398,1073,3.793,예술인,M,중년,N,N
271,진기주,[선공개] '집 나간 3☆의 딸'에서 배우로? 미스터리한(?) 이직 끝판왕 진기주 자기님☆#,97,165468,1496,126,303,529889,1066,4.909,기타,F,청년,N,Y
272,권오철,[#하이라이트#] 회사 탈출하고 별 보러떠난 권오철 자기님의 직장인 공감 유발 토크#,97,141145,1740,79,682,529889,1066,4.909,기타,M,청년,N,N
273,박미경,[선공개] 지구 정복 대신 한의사로?! 극단적 이직러 메두사 출신(?) 박미경 자기님☆#,97,61739,525,80,272,529889,1066,4.909,전문기술,F,중년,N,N
274,김인현,늦은 나이에 법학 대학원 입학을 준비한 김인현 자기님의 노력!#,97,15988,213,4,160,529889,1066,4.909,전문기술,M,중년,N,Y
275,김진호2,항공사 직원들의 여행 티켓 베네핏? 그러나 낙오 가능(!)#,97,12541,105,1,234,529889,1066,4.909,전문기술,M,중년,Y,Y
276,브레이브걸스,[선공개] 브하~ 차트 올킬에 음악 방송 1위까지! 역주행 신드롬 브레이브걸스 자기님들☆#,98,1548501,23292,2435,305,532380,1059,5.302,연예인,F,청년,Y,Y
277,김영미,[#하이라이트#] 진짜 끝까지 가시는 분들..ㄷㄷ 조폭 잡는 경찰-분쟁 지역 최전선 담당 PD 자기님 YOU QUIZ ON THE BLOCK EP.98 | tvN 210317 방송,98,429650,4039,176,1239,532380,1059,5.302,서비스,F,청년,Y,N
278,전재홍,잔소리하기 힘들어서(?) 영어 회의 → 한국어 회의로 바꾼 인터폴 계장님?#,98,323371,2111,93,220,532380,1059,5.302,사회복지,M,청년,N,N
279,성귀수,뤼팽 시리즈에 빠져 겨울 → 봄까지 작업실 안에만 있었던 번역가님의 놀라운 집중력#,98,124127,1047,60,233,532380,1059,5.302,전문기술,M,청년,N,Y
280,정희석,[#하이라이트#] 끝까지 가서 잡는다?? 형사 자기님들의 사건&잠복썰??#,98,69640,672,35,811,532380,1059,5.302,사회복지,M,청년,N,N
281,BTS,[#하이라이트#]드디어 만남 성사! 진짜 BTS와 BTS 여고생의 만남! 살아계세요?#,99,32093523,1137001,31668,797,534870,1052,6.74,연예인,M,청년,Y,Y
282,아이유,[선공개] 아이유님도 찐자기였어...☆ 믿고 보는 ,100,1742869,29262,2203,301,544833,1044,5.773,연예인,F,청년,N,Y
283,이선,이선 성우님이 연구한 '뽀로로가 걷고 뛸 때 나는 소리'! 성우 자기님들 모음 #highlight#,100,3015674,39980,2563,1036,544833,1044,5.773,예술인,F,청년,Y,Y
284,김유빈,?체스 경기 후 ㅇㅇ을 거절하면 심판이 실격시킬 수 있다? 체스&바둑 특집! #highlight#,100,337627,2560,286,835,544833,1044,5.773,운동선수,F,청년,Y,N
285,이종화,?국내 1호 특집? 위기 협상 전문가와 프로파일러가 가장 기억에 남는 사건? #highlight#,100,298434,2785,115,1029,544833,1044,5.773,사회복지,M,중년,N,N
286,김범석,의사들도 피하는 과? 종양내과-흉부외과 의사 선생님들 이야기#highlight#,101,1129522,10299,994,1331,547324,1038,4.58,전문기술,M,중년,Y,N
287,이철희,101화 레전드! '시간의 마술사들 특집' 자기님들의 킬링포인트 모음☆#,101,50791,452,20,1199,547324,1038,4.58,사회복지,M,노년,Y,N
288,김갑연,"어릴 적의 추억을 치료하고, 추억을 만들어준 자기님들★ 인형병원 원장&성우편 #highlight#",101,17784,377,24,803,547324,1038,4.58,사회복지,F,노년,N,N
289,한민홍,놀라운 90년대 자율주행 클라쓰...! 30년 전 대표님의 모습#,101,3664,59,10,224,547324,1038,4.58,전문기술,M,노년,N,N
290,니키리,$돈 제가 벌면 돼요$ 멋짐 폭발 사랑꾼 니키리-김은희 자기님#highlight#,102,1670105,15049,994,1188,549815,1031,4.478,예술인,F,중년,N,N
291,이동진,[선공개] 영화 평론계의 아이돌☆ 이동진 자기님의 퇴사 사유는... 큰 자기의 사인?#,102,109395,1873,144,331,549815,1031,4.478,예술인,M,중년,Y,Y
292,박대성,??코로나 종식을 위해 힘쓰는 자기님들★ 박대성 주무관&정대례 간호사 자기님 #highlight#,102,85081,1048,95,1023,549815,1031,4.478,사회복지,M,중년,N,N
