,출연자,제목,회차,조회수,좋아요수,댓글수,재생시간(초),구독자수,term,시청률,직업,성별,나이,수상여부,인지도
293,나태주,초등학교 선생님하면 이래요...ㅎㅎ 해맑은 선생님 자기님들 모음#,102,29476,353,18,726,549815,1031,4.478,예술인,M,노년,Y,Y
294,이문수,아들이 사제가 되는 것을 계속 반대하셨던 어머니께 전하지 못한 말#,103,167029,2276,93,250,552306,1024,4.523,사회복지,M,중년,Y,N
295,신계숙,[선공개] 하고 싶은 일? 오늘 당장 한다! 멋짐 에너지 뿜뿜☆ 신계숙 교수님#,103,57116,951,67,297,552306,1024,4.523,사회복지,F,중년,Y,N
296,핲기,"능력치 무엇..???직업이  3개, 삼중생활?! 심지어 직업 4개?! #highlight#",103,53094,412,35,1087,552306,1024,4.523,예술인,M,중년,Y,N
297,조명신,103화 레전드! '은밀한 이중생활 특집' 자기님들의 킬링포인트 모음☆#,103,33285,328,15,1138,552306,1024,4.523,예술인,M,중년,N,N
298,서아람,//아찔// 지금 남편분 앞에서 과거 소개팅 망한 썰 푸는 검사님...#,104,383021,1877,117,157,552306,1024,4.521,사회복지,F,중년,N,N
299,김동현,"대단하다 대단해,, 판사 자기님들의 공부?? 썰 #highlight#",104,66473,1078,53,628,552306,1024,4.521,운동선수,M,중년,N,Y
300,윤병임,현직 속기사님의 아들이 엄마와의 채무 관계(?)에서 잊지 않는 것...#,104,7084,184,3,198,552306,1024,4.521,전문기술,F,중년,Y,N
301,데이비드린튼,[선공개] 126년째 한국과 인연을 이어온 가문! 한국으로 귀화한 변호사 데이비드 린튼 자기님☆#,104,618966,7145,689,303,554796,1017,4.521,전문기술,M,청년,N,N
302,남창희,동생들 놀릴 때 제일 신남 ^_^ 큰 자기x남창희 자기님의 케미.zip #highlight#,105,1780760,16819,1299,1143,557287,1010,5.831,연예인,M,중년,N,Y
303,지석진,방탄소년단 진을,105,136358,2401,111,692,557287,1010,5.831,연예인,M,중년,N,Y
304,김영희pd,폐지 위기에 처한 '무한도전'을 살린 사람이... 김영희 피디님…?#,105,4475,104,12,149,557287,1010,5.831,연예인,F,중년,N,Y
305,여준영,"인생은 '10년차', 토크 실력은 인생 '10회차' 준영 어린이??ㅋㅋㅋ #highlight#",106,114532,1589,149,856,559778,1002,4.115,기타,F,어린이,Y,N
306,김연진,//통쾌// 자기님들의 분노 유발 사연에 공감+사이다 발언 날리는 재석 #highlight#,106,74365,1054,120,936,559778,1002,4.115,사회복지,M,중년,N,N
307,이광형,학교생활도 남다른(?) 카이스트 총장자기님과 학생자기님들!  #highlight#,106,33516,508,39,1025,559778,1002,4.115,사회복지,M,노년,Y,N
308,이상배,내 동년배들 다 B 마블로 인생 배웠ㄷr...B 마불 아빠 이상배 자기님 토크#,106,12453,198,18,766,559778,1002,4.115,서비스,M,노년,N,N
309,박준,글로 사람들 울고 웃게 만드는 시인들 박준-나태주 모음 #highlight#,107,101330,1390,88,1272,562269,996,5.875,예술인,M,청년,N,Y
310,박상수,글로 사람들 울고 웃게 만드는 시인들 박준-나태주 모음 #highlight#,107,101330,1390,88,1272,562269,996,5.875,서비스,M,노년,N,N
311,이준수,너무 해맑아서 큰 자기 빵 터지게 만들어버린 중학생자기님들 모음ㅋㅋㅋ#highlight#,107,21741,414,34,802,562269,996,5.875,기타,M,어린이,Y,Y
312,홍진경,공부말고 공부 준비 콘텐츠로 대박?! 빵터지는 홍진경x라엘 모녀#highlight#,107,15087,255,18,741,562269,996,5.875,연예인,F,중년,N,Y
313,김라엘,공부말고 공부 준비 콘텐츠로 대박?! 빵터지는 홍진경x라엘 모녀#highlight#,107,15087,255,18,741,562269,996,5.875,기타,F,어린이,N,N
314,이기진,이기진 교수님이 중국 대기업 백지 수표 제안을 거절한 이유!#,107,3762,104,5,161,562269,996,5.875,사회복지,M,중년,Y,Y
315,조수미,세계에서 빛나는 K-성악가 클라스★조수미+유영광 자기님 모음 #highlight#,108,371672,4231,243,941,564759,989,4.657,예술인,F,중년,Y,Y
316,송주석,108화 레전드! '드림하이 특집' 자기님들의 킬링포인트 모음☆#,108,12208,151,6,1081,564759,989,4.657,전문기술,M,중년,Y,N
317,선용원,"멀고도 먼 출근길...해발 1,653m 지리산 장터목 대피소로 출근하는 자기님#",108,8881,131,9,263,564759,989,4.657,사회복지,M,중년,Y,N
318,이종학,??EV랜드 괴담.. 들어봤나요? ,64,45456,456,49,563,564759,989,3.241,전문기술,M,중년,Y,N
319,윤여순,멋진 어머니가 키워낸 멋진 두 딸! 기업가 윤여순&윤여정#highlight#,109,68941,977,40,898,567250,982,4.633,서비스,F,노년,Y,N
320,김영달,플랭크를 밥먹듯이? 86세??운동만렙 할아버지..!운동을 사랑하는 자기님들#highlight#,109,57568,789,48,907,567250,982,4.633,사회복지,M,노년,Y,N
321,신승건,"??드라마보다 더 드라마같은 의사 신승건 자기님의 이야기,, 슬기로운 자기님들#highlight#",109,37296,677,38,898,567250,982,4.633,전문기술,M,중년,Y,N
322,김가람,//유쾌// 영어로 물어봤는데 유창한 한국어로 대답하는 자기님의 남편분^^?#,110,600514,5066,96,111,569741,975,3.964,예술인,F,청년,Y,N
323,윤성원,아이들의 시선에서 세상을 바라보는 천재 영상감독 윤성원 자기님#highlight#,110,49583,745,39,815,569741,975,3.964,예술인,M,청년,Y,N
324,김세훈,"큰 자기 서울예대 재학 시절, 괴담이 돌았다..?졸업 절대 불가했던 유재석의 캠퍼스 라이프 #highlight#",110,20231,286,17,911,569741,975,3.964,예술인,M,청년,Y,N
325,이종필,157만 관객이 본 '삼진그룹 영어토익반' 감독님의 반전 인생사#highlight#,110,13944,213,20,481,569741,975,3.964,예술인,M,청년,N,Y
326,토마스타반아콧,"""저 의사 됐어요???????"" 이태석 신부님 제자 토마스 자기님#highlight#",111,71236,1548,80,757,572231,968,4.408,전문기술,M,청년,Y,N
327,노기화,온기 우체부 노기화 자기님이 더 마음을 담아 답장했던 온기님의 편지#,111,14591,309,15,256,572231,968,4.408,사회복지,F,중년,Y,N
328,이예준,미팅 나가는 광대의 숙명..??토크 내내 큰 자기 웃기는 이예준 자기님ㅋㅋㅋ #highlight#,111,9153,190,13,834,572231,968,4.408,기타,M,청년,N,N
329,이하얀,(머쓱타드) 조셉의 멘트 때문에 눈물 쏙 들어간 큰 자기&자기님?ㅋㅋㅋ#,111,2411,55,7,187,572231,968,4.408,서비스,F,중년,Y,N
330,고건우,전날 백신 맞고 온 조셉! 오늘 컨디션 괜찮은 거 맞아요?#,112,108397,876,37,170,574722,961,4.398,기타,M,어린이,N,N
331,황인,??낮술텐션주의??친화력 갑 취업의 神이,112,12524,168,15,684,574722,961,4.398,서비스,M,청년,N,N
332,신하균,Lv.999 방패??하균神과 무딘 창??큰 자기&조셉의 대결?#highlight#,112,11825,253,9,915,574722,961,4.398,연예인,M,중년,N,Y
333,백승권,"경위서 잘 쓰는 법의 핵심? 先 사과+後 내용, 재발 방지 약속 ★필수★#",112,7710,78,5,138,574722,961,4.398,사회복지,M,청년,Y,N
334,빅마마,※귀 녹음 주의※ 소름 돋는 라이브 인증하고 간 빅마마 자기님들#highlight#,113,1715354,19425,2395,883,577213,951,5.022,연예인,F,중년,N,Y
335,이상순,"도경완vs이상순, 대한민국에서 가장 결혼 잘한 자기님 1위는? #highlight#",113,623276,6258,330,823,577213,951,5.022,연예인,M,중년,Y,Y
336,신정호,"[선공개] 무한도전 ""사랑아 보영해""의 신정호 자기님☆ ",113,75056,1040,98,227,577213,951,5.022,사회복지,M,중년,Y,N
337,배정원,진행 좀 하자 자기야!?? 배정원 교수님과 연애상담에 빠진 아기자기??#highlight#,114,485900,4740,238,895,579704,943,4.631,사회복지,F,중년,Y,N
338,신종호,과거 재생! 안 봐도 그려지는 재석&세호의 학창 시절?? #highlight#,114,258489,2472,66,709,579704,943,4.631,사회복지,M,노년,N,N
339,이호,"그것이 알고싶다' 자문 교수, 이호 자기님의 부검으로 밝혀낸 사건들 #highlight#",114,138067,1845,54,749,579704,943,4.631,사회복지,M,중년,Y,N
340,박새롬,두 마리 토끼 다 잡은 ?? 박새롬 자기님이 들려주는 인공지능 이야기!!#highlight#,114,13435,161,18,448,579704,943,4.631,연예인,F,청년,N,N
341,김은주,김은주 자기님을 통해 보는 궁금했던 구글 세계의 모든 것??#highlight#,115,606822,9759,417,933,582194,936,4.558,전문기술,F,중년,N,N
342,강형원,?퓰리처 상을 2번이나? 받은 백악관 픽 사진작가 c 자기님! #highlight#,115,71724,997,66,881,582194,936,4.558,예술인,M,중년,Y,N
343,한재민,실력 확인하러 참가했다가 최연소로 우승??해버린 한재민 자기님?!?? #highlight#,115,34178,493,44,930,582194,936,4.558,예술인,M,청년,Y,N
344,송미라,세상을 태권도로 들썩이게 만든 송미라 & 이찬민 자기님?#highlight#,115,17754,251,11,786,582194,936,4.558,운동선수,F,청년,N,N
345,이찬민,세상을 태권도로 들썩이게 만든 송미라 & 이찬민 자기님?#highlight#,115,17754,251,11,786,582194,936,4.558,운동선수,M,청년,N,N
346,김성언,빵빵 터지는 김치 연구 14년 차! 천의 얼굴 김성언 자기님??#highlight#,116,141026,1096,59,786,584685,929,4.988,전문기술,M,중년,N,N
347,김무년,"자취생 필수 아이템, 즉석식품?? 책임지는 최소망&김무년 자기님#highlight#",116,78990,467,25,566,584685,929,4.988,전문기술,M,중년,N,N
348,최소망,"자취생 필수 아이템, 즉석식품?? 책임지는 최소망&김무년 자기님#highlight#",116,78990,467,25,566,584685,929,4.988,전문기술,F,청년,N,N
349,박세영,박세영 자기님이 얘기하는 직원만 아는 참치 레시피부터 자기님들의 레시피까지!!#,116,21526,235,11,205,584685,929,4.988,서비스,M,중년,N,N
350,서동순,꼰대가 된 동순 자기님? 꼰대들 모두 모여라~ 꼰대들을 위한 ★꼰서트★#,116,15409,166,12,216,584685,929,4.988,전문기술,F,중년,Y,N
351,조승우,※16년 만에 예능※ 드디어 떴다?믿고 보는 42개월 조승우??#highlight#,117,3019519,32135,1761,999,587176,923,6.258,연예인,M,중년,N,Y
352,SG워너비,다시 듣고 싶었던 명곡..☆ SG워너비의 '우리의 얘기를 쓰겠소'♬#,117,294884,3570,223,226,587176,923,6.258,연예인,M,청년,Y,Y
353,샤론최,"섭외 1순위 샤론 최 자기님이 방송 출연을 마다한 이유 ""사라져야겠다고 생각했다""#",117,241189,2812,128,170,587176,923,6.258,서비스,F,청년,Y,N
354,신혜림,수술실 앞에서 만난 기증자 가족... 15살 딸에게 전한 엄마의 마지막 인사#,118,469927,3875,123,141,592157,909,5.362,서비스,F,청년,N,N
355,임세영,1분에 1억원?? 1초면 고객님들 마음 다 사로잡는 임세영 자기님#highlight#,118,210465,1288,82,680,592157,909,5.362,서비스,F,청년,N,N
356,고길석,현란한 말솜씨로 자기님들 눈물 쏙 빼놓는 고길석 자기님??#highlight#,118,184703,1170,51,985,592157,909,5.362,서비스,M,중년,N,N
357,문성준,118화 레전드! '1초의 승부사' 자기님들의 킬링포인트 모음☆#,118,76388,588,24,1119,592157,909,5.362,사회복지,M,청년,N,N
358,정연식,★첫 올림픽 진출★ 최선을 다해준 럭비 국가대표팀! #highlight#,119,152989,2723,259,1112,594648,902,6.711,운동선수,M,청년,Y,N
359,안창림,정신력 끝판왕?? 한국을 빛낸 유도선수 안창림 자기님??#highlight#,119,81081,1367,83,822,594648,902,6.711,운동선수,M,청년,Y,Y
360,강채영,☆양궁 9연패☆ 새 역사를 쓴 여자 양궁 선수들?? 인간美??#highlight#,119,78470,1151,45,787,594648,902,6.711,운동선수,F,청년,N,Y
361,안산,☆양궁 9연패☆ 새 역사를 쓴 여자 양궁 선수들?? 인간美??#highlight#,119,78470,1151,45,787,594648,902,6.711,운동선수,F,청년,N,Y
362,장민희,☆양궁 9연패☆ 새 역사를 쓴 여자 양궁 선수들?? 인간美??#highlight#,119,78470,1151,45,787,594648,902,6.711,운동선수,F,청년,N,Y
363,안드레진,한국 1세대 모델 김동수 씨 붕어빵 안드레진 자기님! 모른 척할 때 쓰는 말 ㅋㅋ#,119,69263,715,28,116,594648,902,6.711,운동선수,M,청년,Y,Y
364,황정민,모든 캐릭터 황정민 화! 전설의 우정 여행 마지막 주인공??#highlight#,120,1683358,13526,845,1110,597139,895,6.748,연예인,M,중년,N,Y
365,여서정,첫 출전에 메달 get★ 체조선수들에게 듣는 이야기들! #highlight#,120,420714,3809,184,1050,597139,895,6.748,운동선수,F,청년,N,Y
366,여서정,부모님이 체조선수를 반대했던 이유? 끝내 이뤄낸 여서정 자기님의 11년 전 약속#,120,19799,229,11,312,597139,895,6.748,운동선수,F,청년,N,Y
367,신재환,첫 출전에 메달 get★ 체조선수들에게 듣는 이야기들! #highlight#,120,420714,3809,184,1050,597139,895,6.748,운동선수,M,청년,N,Y
368,신재환,"영원한 우상, 양학선 선수의 모든 행동&루틴을 따라 한 신재환 자기님 ^ㅁ^#",120,18197,210,10,225,597139,895,6.748,운동선수,M,청년,N,Y
369,오진혁,세대 차이를 이겨내고 한국을 빛낸 금빛 궁사? 남자 양궁팀??#highlight#,120,187647,1920,74,1007,597139,895,6.748,운동선수,M,중년,N,Y
370,오진혁,"오진혁 자기님의 명대사 ""끝"" 애국가 나오던 중 흘러내린 눈물의 비밀 ㅋㅋ#",120,75398,971,58,278,597139,895,6.748,운동선수,M,중년,N,Y
371,오진혁,젊게 살기 위해 공부한다는 오진혁 자기님이 아는 최근 노래? 없어요ㅎㅎ (머쓱)#,120,16811,204,15,260,597139,895,6.748,운동선수,M,중년,N,Y
372,김우진,세대 차이를 이겨내고 한국을 빛낸 금빛 궁사? 남자 양궁팀??#highlight#,120,187647,1920,74,1007,597139,895,6.748,운동선수,M,청년,N,Y
373,김제덕,세대 차이를 이겨내고 한국을 빛낸 금빛 궁사? 남자 양궁팀??#highlight#,120,187647,1920,74,1007,597139,895,6.748,운동선수,M,청년,N,Y
374,소녀시대,[소녀시대 완전체] 소녀시대 완전체 in,121,1407329,16649,1287,744,599630,888,5.924,연예인,F,청년,N,Y
375,김수지,배구 입덕의 길로 빠지게 만든 4강 신화??여자 배구팀??#highlight#,121,856208,7157,446,799,599630,888,5.924,운동선수,F,청년,Y,Y
376,오지영,배구 입덕의 길로 빠지게 만든 4강 신화??여자 배구팀??#highlight#,121,856208,7157,446,799,599630,888,5.924,운동선수,F,청년,N,Y
377,양효진,배구 입덕의 길로 빠지게 만든 4강 신화??여자 배구팀??#highlight#,121,856208,7157,446,799,599630,888,5.924,운동선수,F,청년,N,Y
378,조구함,"유도판의 젠틀맨, 유도선수 조구함 선수 등판★ #highlight#",121,88847,1159,107,551,599630,888,5.924,운동선수,M,청년,Y,Y
379,박지성,"영원한 캡틴, 박지성? 그의 연대기부터 최근 근황까지! #highlight#",122,395515,3303,513,586,602120,881,5.534,운동선수,M,중년,Y,Y
380,장항준,"신이 내린 꿀 팔자?? 러블리 남편, 인생은 장항준처럼?#highlight#",122,167550,2166,106,740,602120,881,5.534,예술인,M,중년,Y,Y
381,백미경,"3등급→1등급으로 만드는 강사! 월 4,000만 원 벌던 강사가 작가가 된 계기#",122,111288,1162,58,200,602120,881,5.534,예술인,F,청년,N,Y
382,김석중,"연 끊겠다며 만나지 않았던 모녀, 돌아가신 엄마의 집에 남겨진 물건들...#",122,32881,254,19,137,602120,881,5.534,서비스,M,중년,N,N
383,최현준,"공부만 18시간, 부모님이 말릴 정도로 공부 강박증에 시달려야 했던 이유...#",123,358178,3203,208,188,604611,874,5.299,연예인,M,청년,N,Y
384,김고은,인간 수채화 김고은 자기님??귀염 뽀짝 매력 대방출??#highlight#,123,198287,2242,150,642,604611,874,5.299,연예인,F,청년,Y,Y
385,배윤슬,[도배사의 하루 일과] 곧 죽어도 '아아'파였던 배윤슬 자기님의 믹스커피 사랑♥#,123,35509,362,19,228,604611,874,5.299,전문기술,F,청년,Y,N
386,한동기,인터넷을 뜨겁게 달군 관장님??'영원한 보디빌더' 한동기 자기님#highlight#,124,353053,2598,411,756,607102,867,4.698,기타,M,노년,N,Y
387,김다현,모두가 꿈꾸는 여유로운 하루를 사는?? 파이어족 김다현 자기님!#highlight#,124,226154,2515,309,731,607102,867,4.698,기타,F,중년,Y,N
388,이소영,컬렉팅한 작품만 150점! 아트 콜렉터 이소영 자기님! #highlight#,124,102890,825,44,610,607102,867,4.698,예술인,F,청년,N,N
389,전준한,가족과 떠난 이탈리아 유학! 간절했던 공부를 한 달 만에 자퇴한 이유#,124,9882,90,5,213,607102,867,4.698,서비스,M,중년,N,N
390,한기웅,★경북의 아이돌★ 떴다 하면 레전드 찍는 인기가이 한기웅 리포터#highlight#,125,61620,1135,129,794,612083,853,4.403,예술인,M,중년,Y,N
391,다리오조셉리,"리포터, 요리사, 배우까지?! 리포터 다리오 조셉 리 자기님! #highlight#",125,39837,452,15,495,612083,853,4.403,기타,M,청년,N,N
392,이정용,열정 열정♨ 파이팅 리포터♪ 오!만보기 이정용 자기님#highlight#,125,27465,461,71,767,612083,853,4.403,예술인,M,청년,N,Y
393,옥효진,교실에서 무슨 일이?!,126,236242,3779,196,1215,614574,843,4.157,사회복지,F,중년,Y,N
394,백낙삼,무료로 14000쌍 결혼식을 올려주었다?! 신신예식장 대표 백낙삼 자기님! #highlight#,126,64901,1400,184,809,614574,843,4.157,사회복지,M,노년,Y,Y
395,최인아,나의 화두가 카피로! 최인아 자기님의 이야기 들어보실래요? #highlight#,126,47570,687,39,647,614574,843,4.157,서비스,F,중년,Y,N
396,이예진,고막 여신??전 세계 사람들을 사로잡은 이예진 자기님의 노래??#highlight#,126,47372,452,27,586,614574,843,4.157,연예인,F,청년,Y,N
397,정호연,??{오징어 게임} 배우 정호연 in,127,586903,6195,301,838,617065,838,5.248,연예인,M,중년,Y,Y
398,이슬빈,아이돌들 사이에서 소문난 맛집???! 찰떡궁합 땡깡 남매?#highlight #,127,402946,6041,209,765,617065,838,5.248,예술인,F,청년,Y,N
399,이슬빈,이슬빈 자기님의 '촬영 스킬' 전격 공개!! 아무나 못하는 카메라 무빙?! ㅇ_ㅇ#,127,4478,76,1,141,617065,838,5.248,예술인,F,청년,Y,N
400,이강빈,아이돌들 사이에서 소문난 맛집???! 찰떡궁합 땡깡 남매?#highlight #,127,402946,6041,209,765,617065,838,5.248,예술인,M,청년,Y,N
401,김쌍식,??1년 6개월동안 학생들에게 무료로 빵을?! 빵식이 아재 김쌍식 자기님! #highlight#,127,219073,6414,504,711,617065,838,5.248,전문기술,M,중년,Y,N
402,조현권,☆경축☆ 쉬지 않고 달려온 우리의 아기자기 조셉의 20주년♥ 놀라운 특별 손님?!#,127,131326,1787,127,255,617065,838,5.248,사회복지,M,노년,Y,N
403,신승재,응~ 안 할게~ ^▽^ 얄미움 만렙 신승재 자기님 ㅋㅋ 서로가 고쳤으면 하는 점?#,128,149167,1721,41,123,619556,832,5.1,서비스,M,청년,N,N
404,루시드폴,박사+과학자+감귤 영농인+가수= 잔잔한 엉뚱 매력의 루시드 폴!#highlight#,128,36441,539,26,663,619556,832,5.1,전문기술,M,청년,N,Y
405,박혜란,자녀교육 멘토 박혜란 자기님의 자녀 교육 철학! (a.k.a 이적 엄마) #highlight#,128,28610,394,20,632,619556,832,5.1,기타,F,노년,N,N
406,스티릿우먼파이터리더,[선공개] '스우파' 추억의 댄스신고식♬ 경연의 무게를 내려놓은 그들의 춤사위☆#,129,1642462,28986,1299,305,622046,825,4.367,연예인,F,청년,N,N
407,임형규,연령대 별로 선호하는 노래? 젊은이들 취향 저격하는 Tears 장구쇼~♪#,129,42478,643,38,135,622046,825,4.367,서비스,M,중년,N,N
408,배태랑,이름값하는 베테랑 소방관??배태랑 자기님 가족들의 美친 케미ㅋㅋ#highlight#,130,191722,2836,139,727,624537,818,4.529,사회복지,M,청년,N,N
409,임신복,이름따라 운명처럼! ?????산부인과 임신복 자기님 #highlight#,130,115481,1107,42,553,624537,818,4.529,전문기술,M,중년,Y,N
410,박격포,공군에서 복무 중이신,130,57149,546,39,509,624537,818,4.529,사회복지,M,중년,N,N
411,김노동,김노동 자기님의 이름은 원래 김노동이 아니었다?! #highlight#,130,46456,577,16,555,624537,818,4.529,사회복지,M,노년,N,N
412,오세용,행복을 전하는 집배원??택배 받으러 우체국으로 찾아 오세용?!#highlight#,130,31088,550,44,637,624537,818,4.529,사회복지,M,중년,Y,N
413,여준석,중학생 때 허재가 인정! ??고교생 농구 국대 여준석 자기님! #highlight#,131,869364,6172,563,763,627028,809,5.122,운동선수,M,청년,Y,Y
414,윤계상,[선공개] 저 아저씨 가수였어? 응 엄마 최애야. 추격스릴러로 돌아온 윤계상 자기님♥#,131,218176,2294,201,292,627028,809,5.122,연예인,M,중년,Y,Y
415,우영미,패션 디자이너 우영미 자기님이 말하는 강동원과 함께 파리에 갔던 썰! #highlight#,131,198090,2093,127,876,627028,809,5.122,전문기술,M,중년,Y,Y
416,cct 이 상사,"미라클 작전 중 잊지 못할 순간, 태어나자마자 전쟁을 겪어야 했던 쌍둥이 신생아#",131,21902,302,9,161,627028,809,5.122,사회복지,M,청년,N,N
417,패트릭,유느도 많이 갔던 벨기에 전통 와플집 사장님 등판★ 패트릭 자기님!  #highlight #,132,176675,2139,109,541,629519,804,4.437,서비스,M,중년,Y,N
418,박은순,며느리도 이제는 아는(?) 마복림 할머니 원조 떡볶이집 가문!#highlight#,132,35556,262,35,834,629519,804,4.437,서비스,F,청년,N,N
419,전종렬,"가위가 잘 안 들 때, 이 방법 추천?? 대장간 사장님이 알려주는 꿀팁★ #highlight#",132,24701,248,20,670,629519,804,4.437,서비스,M,노년,N,N
420,전종렬,※메모※ 특이한 직업병! 소주 병으로 가위를 갈 수 있는 전종렬 자기님의 꿀팁은?#,132,3303,41,4,260,629519,804,4.437,서비스,M,노년,N,N
421,김선자,며느리도 이제는 아는(?) 마복림 할머니 원조 떡볶이집 가문!#highlight#,132,35556,262,35,834,629519,804,4.437,서비스,F,중년,N,N
422,전만배,"가위가 잘 안 들 때, 이 방법 추천?? 대장간 사장님이 알려주는 꿀팁★ #highlight#",132,24701,248,20,670,629519,804,4.437,서비스,M,청년,N,N
423,전만배,놀라운 단골손님들? 전만배 자기님께 연봉 18억 제의했다가 사과하게 만든 썰 ㅋㅋ#,132,5312,44,1,219,629519,804,4.437,서비스,M,청년,N,N
424,장종수,명란의 원조?! 명란 전도사 장종수님에게 듣는 진짜 명란 이야기#highlight#,132,19223,201,19,672,629519,804,4.437,서비스,M,청년,Y,N
425,민희진,소녀시대+에프엑스+엑소를 대박 터트린?콘셉트 장인 민희진 대표#highlight#,133,435881,6536,449,981,632009,797,4.432,서비스,F,청년,Y,Y
426,최우식,"토크는 기세야, 기세! 귀욤 삐약이??최우식 자기님의 꿀잼 토크#highlight#",133,400093,4371,99,810,632009,797,4.432,연예인,M,청년,Y,Y
427,김수원,자기 이름을 알아듣고 인사하는 물범 ≥ㅁ≤ 동물들만의 애정표현? ♥#,133,144459,1998,62,201,632009,797,4.432,서비스,M,청년,N,N
428,육지승,부전자전 기부 사랑♡ 어린이의 눈으로 바라보는 유느&조셉 ㅋㅋ#,133,6754,123,9,267,632009,797,4.432,기타,M,어린이,Y,N
429,악동뮤지션,[선공개] 이찬혁 자기님의 목표=위인 되기(?) 현실 남매 악뮤와의 솔직 토크??#,134,1598498,15871,968,305,634500,790,5.702,연예인,M,청년,N,Y
430,윤후,우리는 아직도 후가 좋은가봉가??돌아온 랜선 조카 윤후 자기님#highlight#,134,205608,3032,211,655,634500,790,5.702,기타,M,어린이,Y,N
431,이정후,아버지가 은퇴를 선언했던 날의 기억. 이정후 선수가 큰 자기에게 궁금했던 것!?#,134,134474,1359,153,247,634500,790,5.702,운동선수,M,청년,Y,Y
432,오지헌,오지헌 자기님과 아버지가 다시 끈끈한 사이로 돌아갈 수 있었던 계기#,134,9131,161,14,220,634500,790,5.702,연예인,M,중년,N,Y
