,name,gender,age,episode,episode_date,upload_date,subscriber_count,likes,comments,term,job,topic,rating
0,이충규,M,중년,40.0,20191022.0,20200729.0,0,6186.0,224.0,1290.0,전문기술,That's Life,2.6
1,양경우,W,청년,40.0,20191022.0,20200729.0,0,0.0,0.0,1290.0,기타,That's Life,2.6
2,이명자,W,노인,40.0,20191022.0,20200729.0,0,1.0,1.0,1290.0,기타,That's Life,2.6
3,임재윤,M,청년,40.0,20191022.0,20200902.0,100000,292.0,25.0,1255.0,기타,That's Life,2.6
4,박준형,M,중년,40.0,20191022.0,20200729.0,0,6.0,0.0,1290.0,연예인,That's Life,2.6
5,이시연,W,노인,40.0,20191022.0,20200729.0,0,7.0,1.0,1290.0,기타,That's Life,2.6
6,최연애,W,중년,41.0,20191029.0,20200908.0,120000,165.0,9.0,1249.0,서비스,청춘(靑春),2.7
7,박완용,M,청년,41.0,20191029.0,20200729.0,0,0.0,0.0,1290.0,운동선수,청춘(靑春),2.7
8,박정훈,M,청년,41.0,20191029.0,20200729.0,0,0.0,0.0,1290.0,운동선수,청춘(靑春),2.7
9,김희숙,W,중년,41.0,20191029.0,20200729.0,0,4.0,0.0,1290.0,기타,청춘(靑春),2.7
10,이인봉,M,청년,41.0,20191029.0,20200729.0,0,4.0,0.0,1290.0,기타,청춘(靑春),2.7
11,임서준,M,청년,41.0,20191029.0,20200729.0,0,0.0,0.0,1290.0,운동선수,청춘(靑春),2.7
12,최설아,W,청년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,기타,청춘(靑春),2.7
13,김태연,W,청년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,연예인,청춘(靑春),2.7
14,배한욱,W,청년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,전문기술,청춘(靑春),2.7
15,박지선,W,청년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,연예인,청춘(靑春),2.7
16,박지선,W,청년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,연예인,청춘(靑春),2.7
17,최종국,M,중년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,서비스,청춘(靑春),2.7
18,김미라,W,중년,41.0,20191029.0,20200729.0,0,4.0,1.0,1290.0,서비스,청춘(靑春),2.7
19,이진재,M,청년,41.0,20191029.0,20200729.0,0,4.0,0.0,1290.0,기타,청춘(靑春),2.7
20,길흥순,W,중년,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,산업,폴라로이드,2.3
21,길태후,M,어린이,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,기타,폴라로이드,2.3
22,홍보민,M,어린이,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,기타,폴라로이드,2.3
23,한정석,M,어린이,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,기타,폴라로이드,2.3
24,김만순,W,노인,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,기타,폴라로이드,2.3
25,전정자,W,중년,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,기타,폴라로이드,2.3
26,김유자,W,청년,42.0,20191105.0,20200817.0,60000,7.0,0.0,1271.0,기타,폴라로이드,2.3
27,김부연,W,중년,42.0,20191105.0,20200817.0,60000,68.0,6.0,1271.0,기타,폴라로이드,2.3
28,권성기,M,중년,42.0,20191105.0,20200817.0,60000,0.0,0.0,1271.0,서비스,폴라로이드,2.3
29,강충구,M,중년,42.0,20191105.0,20200817.0,60000,2.0,0.0,1271.0,기타,폴라로이드,2.3
30,이명진,M,청년,42.0,20191105.0,20200817.0,60000,2518.0,161.0,1271.0,서비스,폴라로이드,2.3
31,나영석,M,중년,42.0,20191105.0,20200817.0,60000,2518.0,161.0,1271.0,서비스,폴라로이드,2.3
32,Andy_Kibingwa,M,청년,43.0,20191112.0,20200729.0,0,0.0,0.0,1290.0,기타,Dreams,2.4
33,터키록,M,청년,43.0,20191112.0,20200729.0,0,2.0,0.0,1290.0,전문기술,Dreams,2.4
34,이준희,M,청년,43.0,20191112.0,20200729.0,0,2.0,0.0,1290.0,기타,Dreams,2.4
35,정인화,M,중년,43.0,20191112.0,20200729.0,0,1.0,0.0,1290.0,전문기술,Dreams,2.4
36,김명훈,M,청년,43.0,20191112.0,20200729.0,0,1.0,0.0,1290.0,서비스,Dreams,2.4
37,서경하,M,중년,43.0,20191112.0,20200925.0,160000,700.0,23.0,1232.0,서비스,Dreams,2.4
38,안다희,W,청년,43.0,20191112.0,20200729.0,0,1.0,0.0,1290.0,서비스,Dreams,2.4
39,유재신,M,중년,43.0,20191112.0,20200925.0,160000,700.0,23.0,1232.0,서비스,Dreams,2.4
40,메멧,M,청년,43.0,20191112.0,20200729.0,0,2.0,0.0,1290.0,서비스,Dreams,2.4
41,일마즈,M,청년,43.0,20191112.0,20200729.0,0,4.0,0.0,1290.0,서비스,Dreams,2.4
42,감런벡,M,청소년,43.0,20191112.0,20200729.0,0,1.0,0.0,1290.0,기타,Dreams,2.4
43,박상민,M,청년,44.0,20191119.0,20200908.0,120000,12.0,2.0,1249.0,산업,계절의 끝에서,3.2
44,이정숙,W,중년,44.0,20191119.0,20200908.0,120000,40.0,2.0,1249.0,서비스,계절의 끝에서,3.2
45,김범준,M,청년,44.0,20191119.0,20200908.0,120000,0.0,0.0,1249.0,기타,계절의 끝에서,3.2
46,김민재,M,청년,44.0,20191119.0,20210113.0,502491,1210.0,68.0,1122.0,연예인,계절의 끝에서,3.2
47,김민재,M,청년,44.0,20191119.0,20210113.0,502491,1210.0,68.0,1122.0,운동선수,계절의 끝에서,3.2
48,남진현,W,중년,44.0,20191119.0,20200908.0,120000,191.0,27.0,1249.0,기타,계절의 끝에서,3.2
49,유창종,M,청년,44.0,20191119.0,20210113.0,502491,1210.0,68.0,1122.0,사회복지,계절의 끝에서,3.2
50,고석교,M,중년,44.0,20191119.0,20200908.0,120000,0.0,0.0,1249.0,서비스,계절의 끝에서,3.2
51,김현이,W,청년,44.0,20191119.0,20200908.0,120000,0.0,0.0,1249.0,기타,계절의 끝에서,3.2
52,김현지,W,청년,44.0,20191119.0,20200908.0,120000,1.0,1.0,1249.0,기타,계절의 끝에서,3.2
53,윤주은,W,어린이,44.0,20191119.0,20200908.0,120000,329.0,28.0,1249.0,기타,계절의 끝에서,3.2
54,손희정,W,청년,45.0,20191126.0,20200729.0,0,0.0,0.0,1290.0,서비스,November Song,2.5
55,이종운,M,청년,45.0,20191126.0,20200729.0,0,1.0,0.0,1290.0,기타,November Song,2.5
56,홍서연,W,청년,45.0,20191126.0,20200729.0,0,7.0,0.0,1290.0,기타,November Song,2.5
57,이세돌,M,중년,45.0,20191126.0,20210108.0,500000,10422.0,1091.0,1127.0,운동선수,November Song,2.5
58,전하은,W,청년,45.0,20191126.0,20200729.0,0,2.0,0.0,1290.0,기타,November Song,2.5
59,전지안,W,청년,45.0,20191126.0,20200729.0,0,2.0,0.0,1290.0,기타,November Song,2.5
60,유영수,M,청년,45.0,20191126.0,20200729.0,0,2.0,0.0,1290.0,기타,November Song,2.5
61,유영수,M,청년,45.0,20191126.0,20200729.0,0,2.0,0.0,1290.0,서비스,November Song,2.5
62,승병일,M,노인,45.0,20191126.0,20200729.0,0,2.0,0.0,1290.0,기타,November Song,2.5
63,전재영,M,청년,45.0,20191126.0,20200729.0,0,1.0,0.0,1290.0,기타,November Song,2.5
64,김성수,M,중년,45.0,20191126.0,20200729.0,0,0.0,0.0,1290.0,전문기술,November Song,2.5
65,권수득,M,중년,46.0,20191203.0,20200817.0,60000,7.0,0.0,1271.0,서비스,너의 바다에 머무네,2.5
66,김한나,W,청년,46.0,20191203.0,20200817.0,60000,90.0,4.0,1271.0,기타,너의 바다에 머무네,2.5
67,박근정,W,청년,46.0,20191203.0,20200817.0,60000,403.0,31.0,1271.0,운동선수,너의 바다에 머무네,2.5
68,윤문현,M,중년,46.0,20191203.0,20210113.0,502491,11483.0,385.0,1122.0,서비스,너의 바다에 머무네,2.5
69,양예빈,W,청년,46.0,20191203.0,20200817.0,60000,90.0,4.0,1271.0,운동선수,너의 바다에 머무네,2.5
70,최영은,W,청년,46.0,20191203.0,20200817.0,60000,32.0,2.0,1271.0,예술가,너의 바다에 머무네,2.5
71,김지형,M,청년,46.0,20191203.0,20200817.0,60000,2.0,0.0,1271.0,서비스,너의 바다에 머무네,2.5
72,배한나,W,청년,46.0,20191203.0,20200817.0,60000,300.0,17.0,1271.0,운동선수,너의 바다에 머무네,2.5
73,정준호,M,중년,46.0,20191203.0,20210113.0,502491,11483.0,385.0,1122.0,예술가,너의 바다에 머무네,2.5
74,"벤자민, 베티, 에베네제",M,청년,46.0,20191203.0,20200826.0,80000,729.0,68.0,1262.0,예술가,너의 바다에 머무네,2.5
75,정종윤,M,중년,46.0,20191203.0,20210113.0,502491,11483.0,385.0,1122.0,예술가,너의 바다에 머무네,2.5
76,강명은,W,청년,46.0,20191203.0,20200826.0,80000,729.0,68.0,1262.0,기타,너의 바다에 머무네,2.5
77,최아인,W,청소년,47.0,20200311.0,20200729.0,0,12.0,0.0,1290.0,기타,Warriors (전사들),2.606
78,최용국,M,청년,47.0,20200311.0,20200729.0,0,10.0,0.0,1290.0,서비스,Warriors (전사들),2.606
79,허준혁,M,청소년,47.0,20200311.0,20200729.0,0,0.0,0.0,1290.0,기타,Warriors (전사들),2.606
80,정글라라,W,청년,47.0,20200311.0,20200729.0,0,3.0,1.0,1290.0,사회복지,Warriors (전사들),2.606
81,임진희,W,청년,47.0,20200311.0,20200729.0,0,1.0,0.0,1290.0,사회복지,Warriors (전사들),2.606
82,이풍요,M,청년,47.0,20200311.0,20200729.0,0,1.0,0.0,1290.0,서비스,Warriors (전사들),2.606
83,최준원,M,청년,47.0,20200311.0,20200729.0,0,0.0,0.0,1290.0,전문기술,Warriors (전사들),2.606
84,김길수,M,청년,47.0,20200311.0,20200729.0,0,0.0,0.0,1290.0,서비스,Warriors (전사들),2.606
85,서경덕,M,노인,47.0,20200311.0,20200729.0,0,997.0,143.0,1290.0,기타,Warriors (전사들),2.606
86,김백운,M,청년,47.0,20200311.0,20200729.0,0,19.0,0.0,1290.0,사회복지,Warriors (전사들),2.606
87,이동요,M,청년,47.0,20200311.0,20200729.0,0,1.0,0.0,1290.0,서비스,Warriors (전사들),2.606
88,강순자,W,청년,48.0,20200318.0,20200729.0,0,1.0,0.0,1290.0,기타,Into the Unknown,2.2
89,임공혁,M,청년,48.0,20200318.0,20200729.0,0,17.0,2.0,1290.0,예술가,Into the Unknown,2.2
90,오갑수,W,노인,48.0,20200318.0,20200729.0,0,17.0,2.0,1290.0,기타,Into the Unknown,2.2
91,백진우,M,청년,48.0,20200318.0,20200729.0,0,12.0,0.0,1290.0,전문기술,Into the Unknown,2.2
92,장유정,W,청년,48.0,20200318.0,20200729.0,0,13.0,1.0,1290.0,기타,Into the Unknown,2.2
93,장유정,W,청년,48.0,20200318.0,20200729.0,0,13.0,1.0,1290.0,기타,Into the Unknown,2.2
94,김창연,M,중년,48.0,20200318.0,20200729.0,0,2.0,0.0,1290.0,기타,Into the Unknown,2.2
95,차승원,M,중년,49.0,20200325.0,20200729.0,0,42.0,3.0,1290.0,연예인,Dear Mr. Fantasy,2.5
96,류근오,M,노인,49.0,20200325.0,20200729.0,0,53.0,3.0,1290.0,전문기술,Dear Mr. Fantasy,2.5
97,김건호,M,청년,49.0,20200325.0,20200729.0,0,5.0,1.0,1290.0,기타,Dear Mr. Fantasy,2.5
98,전지희,W,청소년,49.0,20200325.0,20200729.0,0,21.0,1.0,1290.0,운동선수,Dear Mr. Fantasy,2.5
99,박우곤,M,청년,49.0,20200325.0,20200729.0,0,21.0,1.0,1290.0,기타,Dear Mr. Fantasy,2.5
100,윤혜린,W,청년,49.0,20200325.0,20200729.0,0,14.0,0.0,1290.0,전문기술,Dear Mr. Fantasy,2.5
101,이현지,W,청년,50.0,20200415.0,20200729.0,0,56.0,2.0,1290.0,기타,한 페이지가 될 수 있게,2.323
102,윤준서,M,청년,50.0,20200415.0,20200729.0,0,3.0,0.0,1290.0,기타,한 페이지가 될 수 있게,2.323
103,방승대,M,청년,50.0,20200415.0,20200729.0,0,3.0,0.0,1290.0,기타,한 페이지가 될 수 있게,2.323
104,신임순,M,중년,50.0,20200415.0,20200729.0,0,6.0,0.0,1290.0,전문기술,한 페이지가 될 수 있게,2.323
105,정후란,M,청년,50.0,20200415.0,20200729.0,0,2.0,0.0,1290.0,기타,한 페이지가 될 수 있게,2.323
106,이송식,M,청년,50.0,20200415.0,20200729.0,0,2.0,0.0,1290.0,기타,한 페이지가 될 수 있게,2.323
107,박진수,M,노인,50.0,20200415.0,20200729.0,0,1.0,0.0,1290.0,기타,한 페이지가 될 수 있게,2.323
108,이기향,W,청년,51.0,20200422.0,20200729.0,0,75.0,1.0,1290.0,기타,업글인간 특집,2.735
109,강민정,W,아동,51.0,20200422.0,20200729.0,0,14.0,0.0,1290.0,기타,업글인간 특집,2.735
110,황윤섭,M,청소년,51.0,20200422.0,20200729.0,0,22.0,0.0,1290.0,기타,업글인간 특집,2.735
111,송민건,M,청소년,51.0,20200422.0,20200729.0,0,16.0,0.0,1290.0,기타,업글인간 특집,2.735
112,현정석,M,청년,52.0,20200429.0,20200729.0,0,15.0,3.0,1290.0,예술가,그들이 알고 싶다 특집,2.601
113,유장용유영순,W,중년,52.0,20200429.0,20200729.0,0,34.0,7.0,1290.0,기타,그들이 알고 싶다 특집,2.601
114,장병순,W,노인,52.0,20200429.0,20200729.0,0,434.0,22.0,1290.0,기타,그들이 알고 싶다 특집,2.601
115,윤예빈,W,청년,52.0,20200429.0,20200729.0,0,63.0,5.0,1290.0,기타,그들이 알고 싶다 특집,2.601
116,양민석,M,청년,52.0,20200429.0,20200729.0,0,81.0,4.0,1290.0,기타,그들이 알고 싶다 특집,2.601
117,최원준,M,청년,52.0,20200429.0,20200729.0,0,18.0,3.0,1290.0,전문기술,그들이 알고 싶다 특집,2.601
118,송지인,W,청년,52.0,20200429.0,20200729.0,0,10.0,0.0,1290.0,예술가,그들이 알고 싶다 특집,2.601
119,김찬희,M,중년,52.0,20200429.0,20200729.0,0,4.0,0.0,1290.0,사회복지,그들이 알고 싶다 특집,2.601
120,황수연,W,중년,53.0,20200506.0,20200729.0,0,19.0,0.0,1290.0,전문기술,사랑의 꽃 배달 특집,2.009
121,김형진,M,청년,53.0,20200506.0,20200729.0,0,39.0,5.0,1290.0,전문기술,사랑의 꽃 배달 특집,2.009
122,조영학,M,중년,53.0,20200506.0,20200729.0,0,99.0,8.0,1290.0,전문기술,사랑의 꽃 배달 특집,2.009
123,김광선,M,중년,53.0,20200506.0,20200729.0,0,113.0,2.0,1290.0,운동선수,사랑의 꽃 배달 특집,2.009
124,주려진,W,중년,53.0,20200506.0,20200908.0,120000,189.0,15.0,1249.0,서비스,사랑의 꽃 배달 특집,2.009
125,황관용,M,중년,53.0,20200506.0,20200729.0,0,107.0,7.0,1290.0,기타,사랑의 꽃 배달 특집,2.009
126,김순자,W,중년,54.0,20200513.0,20200729.0,0,32.0,0.0,1290.0,기타,스승의 날 특집,2.095
127,위성돈,M,노인,54.0,20200513.0,20200729.0,0,370.0,21.0,1290.0,전문기술,스승의 날 특집,2.095
128,박성규,M,중년,54.0,20200513.0,20200729.0,0,58.0,2.0,1290.0,기타,스승의 날 특집,2.095
129,박종현,M,청년,54.0,20200513.0,20200729.0,0,10.0,0.0,1290.0,기타,스승의 날 특집,2.095
130,장유정,W,청년,54.0,20200513.0,20200729.0,0,3.0,1.0,1290.0,기타,스승의 날 특집,2.095
131,장유정,W,청년,54.0,20200513.0,20200729.0,0,3.0,1.0,1290.0,기타,스승의 날 특집,2.095
132,조용래,M,청년,55.0,20200520.0,20200729.0,0,11.0,0.0,1290.0,전문기술,인생의 단짝 특집,2.357
133,조윤호,M,청년,55.0,20200520.0,20200729.0,0,443.0,19.0,1290.0,기타,인생의 단짝 특집,2.357
134,전다희,W,청년,56.0,20200527.0,20200729.0,0,451.0,26.0,1290.0,기타,슬기로운 의사생활 특집,3.109
135,홍도원,M,청년,56.0,20200527.0,20200729.0,0,18.0,2.0,1290.0,기타,슬기로운 의사생활 특집,3.109
136,박수빈,W,청년,56.0,20200527.0,20200729.0,0,18.0,2.0,1290.0,기타,슬기로운 의사생활 특집,3.109
137,신영돈,M,청년,57.0,20200603.0,20200729.0,0,4105.0,105.0,1290.0,기타,목소리 특집,3.086
138,이승수,M,청년,57.0,20200603.0,20200729.0,0,274.0,12.0,1290.0,운동선수,목소리 특집,3.086
139,조현우,M,청년,59.0,20200617.0,20200729.0,0,1289.0,73.0,1290.0,운동선수,하나뿐인 자기님 특집,2.398
140,손하윤,W,아동,60.0,20200624.0,20200729.0,0,40.0,0.0,1290.0,기타,경찰 특집,2.852
141,손하영,W,아동,60.0,20200624.0,20200729.0,0,720.0,22.0,1290.0,기타,경찰 특집,2.852
142,남지영,W,청년,61.0,20200701.0,20200729.0,0,497.0,25.0,1290.0,전문기술,K 특집,2.520
143,주언규,M,청년,61.0,20200701.0,20210208.0,514944,2477.0,361.0,1096.0,예술가,K 특집,2.520
144,전서이,W,아동,61.0,20200701.0,20200729.0,0,2890.0,103.0,1290.0,기타,K 특집,2.520
145,스테파노,M,청년,62.0,20200708.0,20200729.0,0,72.0,6.0,1290.0,기타,개그맨 특집,2.753
146,스테파노,M,청년,62.0,20200708.0,20200729.0,0,72.0,6.0,1290.0,기타,개그맨 특집,2.753
147,스쿠치마라,M,청년,63.0,20200715.0,20200729.0,0,720.0,33.0,1290.0,기타,제헌절 특집,3.241
148,아브랄,M,청년,63.0,20200715.0,20200729.0,0,67.0,1.0,1290.0,기타,제헌절 특집,3.241
149,부주바,M,청년,64.0,20200722.0,20200729.0,0,186.0,8.0,1290.0,기타,돈 특집,3.241
150,강영권,M,중년,64.0,20200722.0,20210526.0,564759,456.0,49.0,989.0,산업,돈 특집,3.241
151,로타,M,청년,64.0,20200722.0,20200729.0,0,22.0,0.0,1290.0,기타,돈 특집,3.241
152,존리,M,청년,65.0,20200729.0,20201202.0,380000,18288.0,3002.0,1164.0,연예인,직업 특집,3.466
153,바우어,M,청년,65.0,20200729.0,20200729.0,0,1104.0,111.0,1290.0,운동선수,직업 특집,3.466
154,서태종,M,노인,65.0,20200729.0,20200729.0,0,458.0,22.0,1290.0,예술가,직업 특집,3.466
155,박묘순,W,노인,65.0,20200729.0,20200729.0,0,234.0,20.0,1290.0,예술가,직업 특집,3.466
156,김정자,W,노인,65.0,20200729.0,20200729.0,0,2385.0,180.0,1290.0,예술가,직업 특집,3.466
157,김정자,W,노인,65.0,20200729.0,20200729.0,0,2385.0,180.0,1290.0,기타,직업 특집,3.466
158,김지환,M,청년,66.0,20200805.0,20200805.0,20000,62.0,0.0,1283.0,운동선수,직업 특집 2탄,2.736
159,박정우,M,청년,66.0,20200805.0,20200805.0,20000,458.0,34.0,1283.0,운동선수,직업 특집 2탄,2.736
160,이순자,W,청년,66.0,20200805.0,20200805.0,20000,781.0,90.0,1283.0,운동선수,직업 특집 2탄,2.736
161,이예림,W,청년,66.0,20200805.0,20200805.0,20000,4153.0,289.0,1283.0,운동선수,직업 특집 2탄,2.736
162,황찬섭,M,청년,66.0,20200805.0,20200805.0,20000,2470.0,351.0,1283.0,운동선수,직업 특집 2탄,2.736
163,김장우,M,청년,67.0,20200812.0,20200813.0,40000,604.0,97.0,1275.0,운동선수,광복절 특집,2.174
164,이희진,W,청년,67.0,20200812.0,20200813.0,40000,1750.0,244.0,1275.0,운동선수,광복절 특집,2.174
165,신수영,M,청년,67.0,20200812.0,20200813.0,40000,2405.0,230.0,1275.0,운동선수,광복절 특집,2.174
166,장선영,W,청년,67.0,20200812.0,20200813.0,40000,91.0,4.0,1275.0,연예인,광복절 특집,2.174
167,여다경,W,청년,67.0,20200812.0,20200813.0,40000,625.0,40.0,1275.0,운동선수,광복절 특집,2.174
168,송광호,M,청년,68.0,20200819.0,20200817.0,60000,105.0,9.0,1271.0,연예인,살면서 안 만났으면 좋을 사람,3.617
169,홍시율,M,청년,68.0,20200819.0,20200817.0,60000,612.0,105.0,1271.0,사회복지,살면서 안 만났으면 좋을 사람,3.617
170,홍동규,M,중년,68.0,20200819.0,20200817.0,60000,7765.0,812.0,1271.0,사회복지,살면서 안 만났으면 좋을 사람,3.617
171,함범녀,W,노인,68.0,20200819.0,20200817.0,60000,12852.0,908.0,1271.0,기타,살면서 안 만났으면 좋을 사람,3.617
172,함범녀,W,노인,68.0,20200819.0,20200817.0,60000,12852.0,908.0,1271.0,서비스,살면서 안 만났으면 좋을 사람,3.617
173,김정순,W,중년,68.0,20200819.0,20200817.0,60000,9364.0,1205.0,1271.0,기타,살면서 안 만났으면 좋을 사람,3.617
174,서담희,W,청년,69.0,20200826.0,20200826.0,80000,958.0,70.0,1262.0,기타,이거 누가 만들었지?,3.867
175,이재원,M,청년,69.0,20200826.0,20200826.0,80000,251.0,29.0,1262.0,기타,이거 누가 만들었지?,3.867
176,정영석,M,청년,69.0,20200826.0,20200826.0,80000,2228.0,348.0,1262.0,예술가,이거 누가 만들었지?,3.867
177,전종안,M,중년,69.0,20200826.0,20200826.0,80000,1427.0,92.0,1262.0,사회복지,이거 누가 만들었지?,3.867
178,김기숙,W,중년,69.0,20200826.0,20200826.0,80000,31.0,4.0,1262.0,기타,이거 누가 만들었지?,3.867
179,세나,W,청년,69.0,20200826.0,20200826.0,80000,86.0,14.0,1262.0,기타,이거 누가 만들었지?,3.867
180,이규형,M,청년,70.0,20200902.0,20200902.0,100000,163.0,21.0,1255.0,기타,세대 특집,2.906
181,이현주,W,청년,70.0,20200902.0,20200902.0,100000,779.0,104.0,1255.0,기타,세대 특집,2.906
182,오진우,M,청년,70.0,20200902.0,20200902.0,100000,779.0,104.0,1255.0,기타,세대 특집,2.906
183,조재동,M,중년,70.0,20200902.0,20200902.0,100000,289.0,17.0,1255.0,서비스,세대 특집,2.906
184,이민희,W,중년,70.0,20200902.0,20200902.0,100000,83.0,8.0,1255.0,서비스,세대 특집,2.906
185,김춘식,M,중년,70.0,20200902.0,20200902.0,100000,90.0,14.0,1255.0,서비스,세대 특집,2.906
186,남숙현,W,청년,70.0,20200902.0,20200902.0,100000,163.0,21.0,1255.0,산업,세대 특집,2.906
187,고대영,M,청년,71.0,20200909.0,20200908.0,120000,9879.0,911.0,1249.0,기타,문과 vs 이과 특집,3.398
188,현순심,W,중년,71.0,20200909.0,20200908.0,120000,50.0,31.0,1249.0,서비스,문과 vs 이과 특집,3.398
189,고병선,W,중년,71.0,20200909.0,20200908.0,120000,284.0,16.0,1249.0,서비스,문과 vs 이과 특집,3.398
190,김지희,W,중년,71.0,20200909.0,20200908.0,120000,230.0,13.0,1249.0,서비스,문과 vs 이과 특집,3.398
191,정만택,M,중년,71.0,20200909.0,20200908.0,120000,8201.0,681.0,1249.0,서비스,문과 vs 이과 특집,3.398
